July 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,93.1,94.9,94.5,94.6,77.8,85.0,87.9,85.5,86.5,89.6,91.0,90.8,90.0,92.0,92.9,94.5,89.2,88.5,87.7,87.3,88.5,83.7,86.1,88.3,88.6,87.0,86.5,82.5,93.1,91.6,93.5
Beto,90.4,91.7,88.2,89.7,90.2,87.9,89.7,76.1,81.6,82.6,85.1,84.5,82.1,84.2,88.3,87.8,88.7,84.3,84.1,85.3,83.2,78.8,87.3,79.3,82.3,85.5,87.7,86.8,87.5,84.7,85.1
Boyd,92.8,92.1,91.8,90.9,92.3,89.7,90.7,76.8,85.7,88.8,89.0,88.8,86.7,87.8,89.8,89.9,90.8,86.4,89.4,87.9,84.1,82.1,78.4,84.4,81.7,80.9,83.1,86.7,88.4,89.7,89.5
Bradshaw,94.5,90.5,88.9,93.3,86.8,84.2,81.6,77.0,84.4,84.5,82.6,84.0,82.4,81.2,88.5,88.8,86.5,81.1,88.0,83.9,89.3,75.2,75.6,82.1,79.3,75.4,86.2,88.4,90.1,85.5,89.8
Briscoe,92.6,95.3,93.4,92.6,91.5,94.9,91.2,94.6,94.6,89.7,96.5,90.8,87.4,94.2,91.3,89.7,92.8,92.4,94.3,92.3,97.4,90.6,88.9,88.0,91.1,90.2,88.3,90.3,99.1,89.2,93.0
Byrd,87.5,92.0,87.6,88.7,88.2,87.5,84.2,78.2,83.1,82.9,79.5,80.7,82.2,84.4,81.5,85.5,84.9,82.4,82.6,85.9,82.8,76.8,75.2,87.1,75.4,76.8,76.2,75.6,87.8,82.0,87.0
Clemens,86.9,87.1,82.1,88.2,87.2,84.5,81.0,82.6,87.2,82.4,82.4,83.0,81.7,83.4,83.9,84.3,79.9,84.9,84.0,83.6,80.9,80.4,78.8,79.4,80.4,87.2,80.9,83.3,84.2,83.7,86.1
Clements,84.2,83.2,77.3,81.8,79.2,79.0,78.2,78.7,76.9,81.4,80.6,84.3,84.1,84.9,83.2,83.9,82.3,79.0,79.2,80.2,80.2,79.6,78.3,81.1,80.9,81.0,85.8,84.0,86.3,87.5,88.2
Coffield,92.6,91.6,91.4,91.2,91.1,89.3,91.2,80.4,82.8,88.7,88.2,88.0,85.7,85.8,88.2,89.2,89.5,83.6,86.1,85.5,84.6,82.8,79.4,82.6,81.5,80.5,82.5,84.7,86.8,88.0,88.7
Cole,95.3,94.1,95.2,94.1,89.3,91.6,85.3,84.5,89.7,87.2,93.2,90.0,91.3,91.3,95.3,95.2,82.5,73.1,86.1,87.6,85.9,84.1,84.5,86.1,85.8,85.2,85.6,87.4,89.4,93.1,93.1
Connally,90.2,90.7,90.3,90.4,90.5,91.3,92.2,90.2,90.8,88.4,96.7,83.2,96.4,95.5,94.5,96.9,99.8,92.5,97.8,89.3,89.9,96.3,95.3,86.7,83.6,85.3,83.4,81.9,88.1,88.9,89.0
Crain,95.6,94.5,93.0,92.8,95.5,92.1,92.4,86.3,90.9,93.2,91.2,91.7,89.3,92.0,95.2,92.7,93.1,92.7,88.8,92.7,87.5,84.1,82.7,86.9,85.5,85.9,88.2,87.5,90.8,91.1,92.5
Dalhart,84.7,89.8,88.1,81.6,81.7,83.1,82.3,80.9,83.1,82.3,83.1,83.3,85.0,86.1,85.6,87.3,86.4,86.3,87.5,83.6,85.2,82.1,82.0,83.7,85.1,83.8,83.1,84.5,87.3,89.1,89.7
Daniel,89.4,90.2,90.7,91.1,71.2,79.1,81.4,80.1,82.6,83.8,84.1,85.1,87.4,88.2,88.9,89.1,90.3,86.3,86.7,83.4,85.0,83.3,84.6,85.9,87.5,87.9,88.7,87.8,88.8,86.7,89.1
Dominguez,87.3,90.5,88.7,89.3,91.4,92.5,85.4,86.1,84.1,87.4,84.6,83.9,84.4,87.5,88.0,88.7,88.1,82.7,84.5,89.7,91.4,89.2,83.0,83.9,88.6,83.7,84.6,83.7,88.3,86.1,87.5
Ellis,93.7,94.1,89.2,91.6,91.5,91.6,85.7,79.2,84.6,88.7,86.8,87.3,86.5,86.2,90.1,89.2,93.2,86.5,85.5,85.8,87.7,76.6,73.8,85.0,72.1,81.1,81.1,83.2,89.1,89.7,89.3
