,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Allred,75.8,75.6,78.2,76.8,78.3,75.3,73.7,75.0,77.3,78.5,78.8,84.0,77.0,76.9,78.2,75.7,77.1,76.5,76.0,80.4,87.5,80.0,84.6,76.9,76.8,75.9,76.9,78.4,84.3,77.7
Beto,76.8,74.0,75.6,76.1,78.6,77.6,75.9,71.3,72.4,75.2,77.6,75.2,75.0,75.4,74.9,78.4,77.6,73.2,76.9,76.7,77.2,77.6,75.9,76.4,73.9,77.4,74.6,77.2,75.6,81.1
Boyd,76.5,78.7,77.6,79.8,87.6,76.7,72.3,69.9,72.8,77.1,79.5,80.6,82.2,77.1,76.9,82.5,80.5,74.4,76.1,78.8,81.7,82.2,81.2,84.1,71.9,75.2,79.8,83.2,86.3,86.7
Bradshaw,79.3,80.4,82.1,82.0,85.9,78.3,75.2,73.1,78.1,81.1,85.7,79.3,72.8,79.9,76.0,77.3,79.0,79.2,76.8,80.7,80.5,84.8,83.1,84.0,76.7,76.5,80.5,83.9,82.7,83.7
Briscoe,80.6,84.7,84.5,80.3,84.1,80.0,77.8,78.1,85.1,82.2,83.6,89.3,88.2,82.7,81.9,84.2,83.3,83.1,75.4,82.1,85.9,85.8,87.3,87.0,90.1,82.1,78.8,83.7,82.9,83.4
Byrd,77.5,78.2,78.0,74.5,77.9,77.2,75.7,75.0,76.0,78.6,79.4,80.9,80.9,77.2,74.5,83.8,81.9,77.7,76.9,78.7,79.1,83.4,80.3,82.1,74.0,76.6,77.6,80.1,82.3,84.7
Clemens,77.8,82.8,78.6,74.6,77.3,79.3,76.8,70.3,74.1,74.8,79.1,75.7,77.7,76.7,81.4,83.4,84.4,76.4,73.4,78.2,80.4,78.6,77.2,79.2,78.7,73.6,76.1,78.6,76.5,84.4
Clements,78.5,77.4,77.8,72.6,77.0,73.5,73.5,72.5,75.4,73.8,77.3,77.0,76.0,74.0,75.5,71.4,76.1,71.6,73.0,76.3,77.3,78.5,77.5,73.5,70.2,74.5,78.2,78.0,79.1,74.4
Coffield,76.7,75.4,77.2,77.6,80.4,76.7,74.7,74.8,78.1,79.5,78.6,78.6,79.5,77.4,75.2,78.4,77.4,73.4,74.0,81.7,76.0,80.5,80.4,79.8,70.9,73.1,74.9,77.6,80.3,78.2
Cole,76.3,77.8,80.1,76.6,78.3,75.1,72.1,74.1,79.4,81.7,83.3,77.1,73.0,74.4,79.9,72.6,77.3,77.6,75.4,81.5,81.3,82.0,82.0,77.0,75.5,74.5,79.9,79.6,79.3,79.6
Connally,77.8,78.9,79.3,81.6,82.5,80.4,75.7,74.7,83.4,81.6,78.3,80.9,83.6,82.0,78.4,80.3,82.3,83.2,74.6,78.6,80.6,81.8,82.3,82.3,75.2,71.2,76.3,80.4,82.0,72.9
