April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Allred,79.2,77.2,65.5,67.3,65.8,68.3,68.7,77.5,73.6,75.1,76.5,78.9,80.6,78.2,75.3,76.9,81.1,77.6,70.8,76.9,75.3,77.5,76.8,76.0,74.8,75.3,81.3,81.6,80.1,75.4
Bartlett,80.1,80.8,75.6,76.8,59.8,64.4,73.4,75.6,82.1,82.5,83.3,84.5,85.4,83.0,77.2,85.1,84.1,85.4,76.2,81.8,82.1,82.0,79.4,81.4,79.7,82.8,81.4,80.0,83.9,76.3
Baten,72.7,73.3,77.1,78.0,79.6,71.8,76.8,77.0,76.8,76.9,74.1,79.0,80.2,76.6,77.1,80.1,79.9,78.8,76.8,72.3,77.8,79.1,77.4,76.2,75.5,76.1,79.5,78.1,73.9,76.4
Beto,75.1,81.0,79.3,79.0,68.8,63.1,67.1,68.8,70.6,74.4,75.5,73.8,74.9,82.0,78.5,75.6,79.6,78.7,78.8,78.1,75.5,83.6,79.8,72.2,74.2,78.1,78.4,79.4,80.0,80.2
Boyd,80.1,85.1,83.9,81.8,81.0,75.7,77.0,77.6,77.8,81.7,81.9,80.8,83.7,83.9,81.2,81.7,82.9,86.7,80.5,80.4,79.9,83.3,81.8,65.5,74.0,80.7,84.8,81.2,83.1,80.5
Bradshaw,77.4,77.7,83.7,91.6,69.0,73.3,76.4,77.1,80.1,81.3,79.6,80.9,85.2,79.9,77.7,79.1,84.8,82.1,78.9,81.4,78.9,83.9,76.6,85.9,87.0,87.0,87.1,81.8,82.3,77.5
Briscoe,87.3,83.0,89.2,89.5,79.2,72.6,77.3,76.3,81.7,85.4,84.0,87.4,86.9,87.5,84.1,81.0,84.3,88.6,80.1,84.5,87.6,86.1,87.4,84.0,85.4,82.4,89.9,87.0,88.0,91.5
Byrd,73.3,76.4,79.4,81.9,70.4,70.1,68.2,71.5,72.7,77.0,77.3,74.9,79.5,76.7,76.6,74.6,81.3,82.2,80.2,80.0,75.5,80.6,75.6,79.7,77.7,78.4,79.9,81.4,75.4,77.8
Clemens,81.8,81.0,80.0,78.7,82.3,77.4,70.1,77.2,74.3,73.9,74.9,78.6,79.4,78.0,77.5,77.6,79.1,77.1,79.3,76.8,73.8,78.8,78.0,78.9,78.4,79.9,81.0,79.9,79.7,81.2
Clements,63.8,63.8,62.3,60.6,57.5,56.0,55.9,58.7,60.6,68.2,63.7,65.5,68.9,66.4,66.3,66.7,70.1,69.8,52.2,64.7,66.8,66.6,67.3,67.5,68.5,68.0,68.1,69.4,68.8,68.5
Coffield,77.8,81.4,84.3,81.8,74.7,72.4,73.0,76.5,77.8,78.7,79.1,80.0,82.0,82.5,79.0,80.3,81.3,81.2,80.7,79.6,76.1,76.4,80.4,79.3,74.7,79.8,81.2,80.9,81.4,80.9
Cole,74.7,77.0,68.2,65.7,70.1,75.6,75.6,77.3,76.8,79.3,77.6,78.2,81.7,81.0,75.5,80.3,84.0,80.6,76.4,77.0,77.1,82.2,80.1,75.8,77.8,85.8,82.1,80.2,81.3,73.1
Connally,82.4,83.1,84.3,84.0,75.8,78.0,70.4,76.7,75.0,79.7,82.0,80.5,80.2,82.4,79.5,79.7,80.6,81.8,80.7,79.3,83.7,83.3,81.4,84.3,87.2,84.8,81.2,87.3,82.6,83.3
Crain,78.0,79.3,70.3,69.9,64.8,68.7,72.0,77.8,82.0,80.5,79.5,83.6,83.8,87.1,78.4,82.3,82.0,85.2,78.6,83.8,78.6,82.0,82.5,74.4,80.9,82.5,80.0,81.8,81.7,74.5
Dalhart,75.0,74.2,73.9,73.1,70.9,73.3,74.2,74.7,76.7,76.5,76.8,80.1,82.1,76.2,73.0,77.2,80.8,77.0,73.1,75.3,75.9,77.9,76.6,77.7,76.2,74.1,78.2,76.0,72.5,76.3
Daniel,76.9,73.6,78.0,79.8,81.8,80.9,80.3,76.5,74.8,75.9,75.7,76.0,76.9,76.4,74.4,76.9,77.8,77.1,76.5,76.8,76.4,77.1,77.4,77.3,76.9,77.0,75.6,78.6,76.3,77.2
Dominguez,84.5,82.6,82.6,86.6,77.5,67.6,71.7,74.1,78.6,79.6,81.3,82.4,82.8,84.2,79.3,80.2,81.8,82.6,80.7,80.1,85.5,82.5,78.8,82.2,88.0,85.5,85.0,80.2,83.3,81.8
Ellis,80.5,77.8,81.8,78.2,70.6,64.3,69.2,70.2,75.3,78.9,79.8,78.0,89.1,81.4,76.3,80.6,81.0,89.0,80.1,81.7,78.5,84.2,80.2,81.5,82.9,84.3,86.2,81.5,81.4,81.6
Estelle,76.5,79.5,80.4,80.7,74.6,71.8,68.2,70.8,76.7,75.6,78.0,77.7,83.1,80.2,77.1,75.1,78.2,78.9,78.1,79.2,76.1,80.0,77.4,77.7,81.5,81.9,81.3,79.8,79.8,78.4
Ferguson,81.9,81.5,82.5,81.8,75.0,64.3,75.7,76.6,77.8,78.8,78.9,78.4,83.0,82.9,79.9,81.0,82.7,84.5,81.4,85.9,83.8,83.8,83.6,82.7,82.3,82.4,84.6,85.3,81.1,80.5
Formby,82.4,79.9,75.8,73.8,77.1,71.2,76.2,80.1,80.6,82.0,79.6,87.3,84.3,76.1,76.0,82.7,86.1,70.7,76.6,77.3,79.3,81.6,81.5,76.3,77.2,74.2,82.1,80.8,76.4,78.3
Garza East,86.5,89.2,89.4,90.7,82.4,74.5,76.5,76.8,84.1,87.0,87.6,85.4,87.1,86.5,85.7,85.7,86.5,86.3,84.1,83.5,86.5,88.5,85.0,87.8,85.5,86.6,90.1,87.1,86.3,85.8
Garza West,85.7,85.0,94.5,88.2,82.6,71.3,76.8,80.2,82.6,87.3,88.0,87.2,86.7,88.1,87.5,85.2,87.9,92.0,84.2,87.0,87.7,88.3,89.2,87.7,90.7,86.5,89.8,89.1,87.5,87.1
Gist,81.6,81.4,84.4,85.0,78.3,77.1,76.6,77.2,79.0,80.4,81.3,83.0,83.2,81.9,80.7,84.6,80.6,81.3,79.8,80.2,82.0,86.9,79.4,84.5,85.5,84.9,86.5,84.3,83.5,83.8
Goodman,74.2,80.0,81.6,80.6,74.4,67.5,71.8,77.0,77.5,77.6,77.8,82.5,80.6,79.6,77.9,77.2,79.4,78.4,80.9,80.3,79.4,79.9,73.2,81.6,83.3,82.0,80.3,82.9,82.4,79.7
Goree,76.2,78.1,80.4,80.2,74.3,64.4,70.5,74.8,77.1,77.6,75.4,76.0,77.2,81.9,77.0,75.5,82.0,83.2,76.8,78.8,78.1,81.1,78.6,81.7,79.6,80.6,80.9,81.5,77.0,77.4
Gurney,75.8,77.7,88.3,78.5,61.2,48.8,68.7,73.1,76.9,81.0,78.4,77.0,83.1,84.1,77.8,78.9,81.7,81.4,81.6,79.7,80.2,83.6,79.3,73.0,77.3,83.4,86.0,82.2,82.7,79.4
Hightower,76.5,79.4,80.8,82.2,77.3,66.8,74.6,80.2,78.2,80.5,80.7,79.5,81.4,81.1,79.2,80.2,79.6,82.2,78.6,80.8,80.6,83.2,77.8,82.2,82.1,83.2,83.6,81.7,80.4,80.9
Hilltop,79.4,79.4,76.4,74.0,76.8,76.4,76.3,76.0,77.0,79.5,77.3,77.7,76.9,79.1,76.6,77.4,78.8,79.8,77.5,77.8,77.2,78.3,78.4,75.3,75.6,77.5,77.9,79.2,79.9,77.4
Hobby,80.5,81.6,83.2,72.8,73.4,69.2,78.7,82.8,79.0,83.4,83.4,81.0,84.4,83.9,81.3,82.7,86.0,85.6,81.0,82.4,81.6,86.9,84.2,82.6,86.3,88.4,87.2,88.6,83.5,85.9
Holliday,81.2,82.1,83.1,82.0,70.1,62.5,70.8,75.7,79.1,80.8,81.4,82.3,83.2,82.2,79.1,80.6,84.0,84.3,80.3,83.6,84.3,83.2,81.6,83.5,83.3,85.4,85.5,84.9,81.2,81.5
Hughes,78.3,79.2,75.8,73.5,70.5,69.4,72.8,74.4,78.5,79.9,82.2,79.9,81.7,82.7,78.4,82.5,84.2,85.0,82.3,78.6,82.1,83.7,82.2,74.0,79.0,83.5,84.1,79.4,81.4,74.2
Huntsville,76.8,79.7,81.4,81.6,69.6,61.8,71.1,78.6,76.9,78.3,78.4,81.9,81.2,79.9,78.9,80.2,84.3,83.4,78.5,80.4,79.4,81.4,78.9,81.5,81.6,83.2,83.8,82.8,84.7,79.7
Hutchins,78.1,77.5,72.8,69.5,66.4,60.1,70.1,73.8,73.8,80.3,83.5,77.0,84.3,84.7,79.8,81.3,83.2,84.8,81.0,83.2,81.4,86.1,83.0,74.3,80.3,83.7,82.6,81.2,83.8,72.0
Jester III,79.9,80.6,81.5,82.7,76.2,66.1,71.4,72.6,75.7,79.5,79.1,79.6,83.9,80.9,77.6,79.6,84.2,84.7,82.3,84.1,82.9,82.3,79.5,81.0,81.1,83.7,81.8,82.1,80.9,83.2
Jordan,76.2,74.9,73.2,69.6,68.4,75.9,72.7,77.1,76.5,77.5,77.5,79.6,77.8,76.5,75.9,79.1,80.4,66.9,77.1,76.8,76.8,78.4,76.5,78.2,78.6,74.4,75.4,78.3,77.0,77.1
Lewis,80.0,83.2,85.3,81.3,80.3,71.8,77.2,76.5,76.9,78.6,77.6,78.1,79.4,77.6,77.4,78.2,79.9,84.6,80.5,81.8,81.4,85.0,80.8,82.2,85.1,81.8,82.5,83.0,83.2,81.2
Lopez,85.1,89.2,92.3,89.6,83.4,70.9,76.9,81.7,82.4,84.9,89.0,84.0,82.5,82.4,84.0,80.4,87.2,85.0,83.2,80.8,85.8,82.6,80.6,82.8,84.2,86.1,88.2,86.8,88.1,88.9
Luther,79.8,79.9,80.2,81.0,75.5,70.4,77.3,77.5,78.2,78.8,81.1,77.8,78.9,79.0,79.3,78.1,80.2,81.3,85.4,80.3,78.1,81.4,77.5,80.5,79.4,79.9,81.7,85.2,81.4,80.9
Lychner,85.6,82.4,87.3,84.7,84.8,84.7,73.4,77.0,83.8,85.3,87.4,86.2,87.5,86.9,83.5,88.2,85.8,89.0,83.7,84.7,86.1,87.3,79.1,86.6,87.8,88.1,89.2,86.6,83.0,84.6
Lynaugh,78.4,78.1,75.8,67.3,74.4,71.3,74.0,77.3,77.6,77.6,78.9,78.7,79.6,79.4,85.5,78.8,80.5,78.0,78.6,76.9,74.8,83.5,82.3,80.1,80.4,79.7,82.6,81.7,81.7,82.1
Mcconnell,84.4,87.6,87.6,85.5,76.8,70.6,71.5,75.1,77.5,79.9,80.9,82.1,81.4,82.0,80.1,80.2,79.9,83.5,85.0,79.9,81.3,83.7,82.5,83.5,82.6,83.7,90.3,80.3,85.0,84.3
Memorial,80.6,81.4,80.6,78.5,78.1,78.1,66.6,69.8,71.4,75.6,82.0,77.5,76.2,80.1,72.0,79.1,78.4,80.8,80.4,81.2,76.8,79.6,78.6,79.1,79.7,79.4,79.7,81.0,78.8,77.6
Michael,78.6,78.4,81.4,80.2,75.0,75.9,71.7,77.0,76.0,78.1,78.2,77.9,78.8,80.7,77.8,77.4,79.4,81.4,80.1,81.0,79.8,83.2,85.7,81.8,82.0,83.1,87.5,82.1,80.4,82.9
Middleton,82.2,77.5,78.6,73.4,69.8,77.0,78.0,78.0,79.3,81.1,78.8,79.6,81.4,78.6,75.9,80.2,80.6,79.5,77.1,75.1,77.7,81.7,82.5,79.6,77.5,79.3,81.5,82.4,82.1,76.4
Montford,81.4,77.4,77.4,70.3,67.7,77.5,77.5,79.5,79.4,82.5,79.5,84.6,87.1,76.7,77.9,84.8,87.5,80.1,74.4,74.8,78.4,83.4,83.8,85.6,84.5,74.1,88.3,82.2,70.5,74.4
"Moore, C.",76.7,80.4,64.9,69.4,69.8,61.3,77.9,75.8,78.8,80.5,78.9,81.8,83.8,85.7,75.5,83.0,83.4,85.2,80.9,74.2,79.9,84.2,79.9,74.6,71.8,88.7,79.8,79.9,85.9,68.4
April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Murray,80.9,76.9,82.8,69.2,66.7,62.5,76.9,70.1,78.3,80.0,77.6,78.3,79.3,75.1,77.9,79.0,79.4,79.4,74.5,75.2,82.8,81.5,81.4,73.4,79.3,78.8,77.4,82.1,79.7,74.2
Polunsky,79.0,79.8,81.4,82.0,79.1,70.0,77.1,77.0,77.6,78.9,79.6,78.9,80.1,79.4,79.9,79.4,82.2,81.6,80.4,81.4,80.1,82.4,78.2,81.4,81.7,82.1,82.1,81.8,85.2,86.5
Powledge,78.1,81.2,82.1,81.3,75.1,73.4,72.5,76.1,78.7,78.5,79.6,78.3,81.0,81.9,80.1,78.1,78.7,84.7,82.5,83.1,77.8,78.6,82.6,80.6,76.9,80.8,81.7,81.9,82.4,83.4
Ramsey,83.9,82.3,83.3,86.7,79.1,79.3,77.0,76.9,77.1,77.7,77.3,79.3,80.7,79.5,80.7,78.1,79.5,81.4,79.9,82.4,79.8,79.9,79.5,83.6,82.1,82.5,84.6,82.8,80.0,81.8
Roach,74.5,75.2,70.8,67.6,63.0,65.7,63.1,70.0,75.3,76.0,76.6,79.2,82.7,77.6,77.8,76.2,79.3,72.8,69.5,69.5,70.8,76.2,75.7,74.9,71.7,62.5,72.9,76.0,72.9,71.4
Robertson,80.3,70.1,69.6,69.6,68.8,66.5,70.6,70.3,76.4,77.2,77.0,80.7,80.4,79.1,76.6,75.7,80.7,78.9,70.5,68.8,75.7,77.7,78.8,79.4,76.3,79.8,80.2,83.8,80.0,74.8
Sanchez,71.5,70.0,72.4,68.7,63.5,65.3,70.2,76.5,79.3,79.9,81.3,82.3,83.3,83.5,81.3,85.1,86.8,80.5,72.3,77.9,82.5,84.2,84.7,76.4,84.3,85.1,85.3,83.9,83.8,79.9
Segovia,89.7,90.2,89.6,90.1,82.9,77.9,79.0,80.3,81.4,81.3,83.9,84.7,84.2,87.6,86.6,85.6,86.2,87.4,81.6,83.6,85.1,86.3,81.8,89.2,85.1,82.2,88.8,88.1,91.5,90.3
