August 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,97.7,99.7,95.6,97.6,100.5,97.1,93.8,92.3,95.8,93.0,99.1,100.1,97.5,83.3,85.9,87.5,94.3,97.9,95.0,96.3,93.4,95.7,97.8,99.1,95.6,99.3,97.3,88.0,87.7,87.8,88.6
Beto,91.9,94.4,92.8,91.1,93.8,94.7,92.3,93.1,91.3,93.9,92.7,93.7,92.4,93.2,89.0,86.8,90.3,93.2,91.9,94.9,94.2,92.3,94.3,95.7,96.2,96.3,96.5,86.3,87.1,87.3,87.6
Boyd,95.1,97.0,97.4,96.0,96.4,94.9,94.5,95.3,94.4,95.3,93.2,95.4,95.6,95.0,93.7,91.1,94.8,98.0,94.9,97.6,98.2,96.1,96.2,98.9,98.0,98.7,99.6,89.9,90.7,91.8,91.8
Bradshaw,98.2,97.7,98.4,97.6,97.8,97.4,94.5,95.3,92.8,95.9,95.4,96.3,95.0,94.2,92.1,89.7,94.6,89.7,95.2,96.1,96.1,98.1,98.6,98.5,98.9,98.6,98.1,84.3,89.3,89.1,91.2
Briscoe,96.0,94.1,94.9,91.7,95.1,95.3,95.5,95.4,98.1,97.5,96.1,97.2,98.1,96.3,94.6,94.5,96.7,94.1,95.0,98.2,93.7,85.6,89.5,92.2,96.2,93.2,96.3,97.1,93.8,95.4,97.2
Byrd,93.8,94.2,93.4,93.7,93.9,90.1,95.2,94.0,92.5,92.9,92.8,93.0,92.6,92.3,91.2,90.2,90.4,91.8,91.9,92.9,93.3,92.1,91.4,94.2,92.2,95.4,93.2,86.2,88.2,86.5,81.9
Clemens,84.3,87.4,85.6,83.0,84.2,87.2,84.9,89.4,89.9,91.7,90.2,88.6,86.2,88.6,87.9,89.5,90.5,90.1,89.4,88.7,87.2,84.4,89.1,91.7,90.9,90.7,85.7,86.9,88.9,88.8,87.9
Clements,89.3,89.0,88.8,88.0,89.3,85.1,82.5,83.5,83.9,84.0,87.3,87.2,86.0,81.4,81.0,83.5,87.9,82.0,85.7,85.9,87.0,89.9,89.4,86.0,87.8,84.8,83.8,84.0,81.7,81.6,81.0
Coffield,97.0,93.8,92.7,94.0,92.7,93.7,93.5,93.1,94.5,96.2,94.2,94.5,93.8,94.9,91.1,88.8,89.6,95.1,96.5,99.1,96.6,93.6,94.8,99.5,95.6,99.1,101.3,86.2,88.6,88.8,88.0
Cole,95.7,95.2,95.7,90.2,97.9,93.3,87.4,88.4,92.5,96.2,98.0,86.0,87.3,92.5,86.1,89.0,94.0,94.5,97.0,93.4,92.4,89.7,91.4,96.1,96.7,95.7,91.8,83.0,89.4,89.3,85.7
Connally,92.8,92.9,92.8,92.7,92.3,93.1,93.0,92.8,93.9,94.0,94.0,94.4,93.7,93.2,94.5,94.2,94.4,93.8,92.1,94.4,95.6,85.1,90.6,91.6,92.9,94.6,93.7,93.2,93.3,93.1,94.7
Crain,97.8,97.1,97.3,99.9,98.2,98.4,99.0,100.6,97.7,96.3,97.4,97.7,96.3,98.2,95.2,95.0,95.5,96.0,96.2,96.5,97.5,98.1,94.5,95.9,95.9,98.9,86.2,92.6,94.3,95.1,93.8
Dalhart,86.9,93.7,94.2,90.0,89.7,82.7,83.9,77.7,79.9,88.6,89.8,88.8,85.0,79.0,80.9,89.4,89.9,87.0,89.7,89.9,88.7,88.2,87.3,83.7,89.8,78.2,78.3,81.6,80.5,85.4,89.4
Daniel,91.8,92.6,92.0,92.8,93.0,92.7,92.1,92.8,92.2,92.9,93.2,93.0,93.3,90.1,83.2,87.6,90.2,90.5,90.2,92.0,92.3,93.5,92.0,92.2,92.0,90.5,89.2,87.9,86.1,86.7,87.1
Dominguez,91.3,98.1,91.9,99.1,98.1,99.2,91.1,95.8,94.7,97.7,97.6,95.8,98.4,97.6,97.7,98.5,99.2,93.5,91.3,99.8,98.0,86.1,91.1,96.3,96.8,98.2,99.3,85.5,94.4,95.7,92.2
Ellis,98.3,97.4,93.0,92.8,91.6,95.4,94.4,91.0,90.8,95.5,93.2,95.0,93.2,95.4,92.7,86.8,89.8,93.2,94.9,94.3,95.7,94.2,93.1,95.6,91.4,91.2,96.2,90.6,92.0,84.6,86.2
Estelle,92.6,94.8,94.6,92.0,94.5,91.6,92.7,92.0,94.3,95.2,92.0,93.6,94.2,94.1,96.9,90.6,92.1,95.9,96.3,99.1,95.5,92.9,89.6,88.1,93.2,96.3,94.3,90.2,90.6,87.4,89.3
Ferguson,95.6,93.3,93.7,91.6,95.6,92.0,93.2,93.9,93.3,92.6,92.1,94.7,93.8,90.6,90.6,88.7,93.2,93.6,98.2,93.4,97.2,93.8,95.7,95.1,95.2,95.7,95.1,89.2,89.0,90.5,87.6
Formby,89.5,88.6,89.2,90.6,88.7,89.1,85.6,92.3,89.8,87.0,89.5,88.7,89.0,84.5,84.0,85.2,93.2,90.0,91.6,87.8,86.3,90.2,89.5,90.3,85.2,86.7,78.6,85.0,86.7,84.9,82.2
Garza West,101.3,102.1,100.3,100.5,101.3,100.6,102.1,100.3,102.0,101.3,101.5,97.8,102.3,101.4,102.0,104.6,103.7,102.8,98.0,101.9,103.9,82.5,97.6,101.3,102.0,100.0,102.2,100.5,95.2,97.8,100.8
Gist,97.5,98.4,97.3,97.4,96.9,94.9,97.4,97.7,97.1,96.3,96.3,97.6,97.1,96.8,98.5,95.9,97.6,98.1,98.8,98.7,97.4,94.8,97.8,98.1,98.3,98.5,98.8,92.4,93.8,96.4,93.6
Goodman,93.0,96.9,88.9,93.2,94.6,92.6,92.4,95.1,90.5,89.7,91.7,89.4,90.1,91.2,90.2,87.8,89.2,90.9,92.0,98.6,87.8,88.6,86.6,87.8,88.7,87.1,88.2,87.4,89.1,89.4,84.0
Goree,89.5,92.3,89.3,90.2,90.0,92.4,91.8,92.0,91.6,92.0,92.1,89.7,88.5,91.8,87.4,87.9,91.3,93.7,91.7,92.6,86.6,87.4,91.4,91.0,93.2,90.8,92.2,85.3,85.5,83.6,84.3
