July 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,87.5,90.6,90.2,91.4,93.7,91.6,92.4,93.7,84.2,94.5,94.1,95.7,100.8,92.5,89.8,91.9,97.4,97.9,95.6,98.6,89.7,88.2,90.7,91.6,95.6,95.3,93.1,94.6,94.2,94.4,96.4
Beto,87.8,86.3,86.7,88.7,86.3,87.3,86.3,86.0,86.5,86.2,87.5,87.9,86.3,88.6,88.8,88.4,88.7,89.1,89.2,84.3,90.7,90.0,89.6,88.6,90.1,90.4,91.9,89.9,90.2,90.9,84.1
Boyd,90.7,88.7,90.2,89.8,89.3,89.7,89.6,90.7,89.9,92.9,92.8,92.8,93.9,92.0,94.7,93.1,93.5,93.3,93.5,93.8,92.4,92.8,92.4,92.4,93.1,93.0,92.2,92.1,91.1,93.4,91.6
Bradshaw,93.2,86.1,91.2,91.1,90.1,91.8,90.1,90.9,88.5,89.2,88.2,94.2,92.3,95.1,92.8,83.9,93.2,91.1,99.8,99.2,98.1,92.8,90.2,90.1,93.0,94.4,95.2,94.3,93.8,96.0,94.9
Briscoe,96.5,89.1,91.3,90.6,91.9,90.0,85.5,88.0,96.3,94.3,92.8,96.8,95.0,96.7,98.4,97.2,94.8,93.4,93.9,92.9,95.2,96.8,95.1,97.2,92.1,95.0,94.0,93.7,94.4,94.3,96.6
Byrd,88.1,88.3,88.2,88.7,86.5,78.2,80.1,82.1,89.1,89.5,88.7,90.1,90.8,89.8,89.4,89.9,89.4,89.6,91.2,89.4,88.2,88.0,89.4,91.2,90.5,91.5,92.0,91.1,89.2,93.3,96.4
Clemens,87.7,86.8,88.6,86.9,84.6,84.8,82.3,80.2,81.5,84.9,88.8,86.2,85.5,82.2,81.6,91.1,85.9,87.7,83.2,82.4,87.9,88.2,83.8,82.8,87.3,85.5,83.3,83.0,84.7,85.9,91.6
Clements,81.2,81.8,79.1,81.4,82.7,81.7,82.7,79.5,78.5,77.8,81.2,86.0,89.8,84.3,83.2,82.3,85.0,87.1,88.2,88.0,84.7,83.2,84.2,86.8,88.2,88.3,89.5,88.5,89.3,89.3,87.3
Coffield,90.2,86.8,88.5,87.9,88.3,89.6,87.8,88.4,87.5,90.1,89.9,91.1,92.8,92.0,92.1,92.8,92.4,93.1,93.3,92.3,92.7,92.8,91.2,93.1,92.1,93.2,90.0,93.2,92.3,94.4,88.6
Cole,88.5,87.1,87.4,84.3,91.9,89.3,91.7,96.5,88.8,97.3,84.7,90.9,92.2,84.0,98.6,78.8,98.7,95.7,91.8,92.8,90.8,85.1,89.1,95.9,95.8,95.9,94.6,95.0,91.3,94.5,96.9
Connally,92.6,91.7,92.8,90.8,89.5,84.0,87.2,89.1,91.3,91.8,93.9,93.6,93.5,93.1,92.7,93.3,93.2,93.4,92.4,92.4,93.0,93.0,93.1,92.1,90.2,91.8,92.8,91.3,90.3,92.3,96.9
Crain,94.7,92.0,91.1,92.1,93.8,93.6,93.4,92.3,93.8,95.8,94.7,94.7,96.0,95.1,97.0,93.6,99.7,98.3,96.9,97.4,95.6,97.5,97.4,95.0,97.9,95.3,97.3,95.3,96.3,95.9,92.1
Dalhart,79.1,83.7,83.3,86.9,82.7,80.7,85.7,83.2,72.8,84.2,88.2,89.2,87.9,88.2,78.4,87.7,88.9,93.0,91.3,87.6,83.3,81.5,89.1,93.1,91.1,90.5,83.5,84.5,84.6,89.9,96.9
Daniel,83.1,83.7,84.9,84.5,86.7,87.3,89.7,87.8,87.5,89.9,87.7,88.9,94.7,91.4,92.3,89.6,88.4,89.1,88.8,90.2,91.5,88.6,86.6,90.4,89.3,90.1,90.3,90.2,90.1,90.2,93.1
Dominguez,95.3,92.9,91.1,93.3,94.2,89.7,85.6,94.7,95.7,94.5,93.1,97.4,93.2,98.9,96.9,98.1,92.8,93.0,97.8,98.9,96.9,96.1,93.8,95.0,97.6,97.3,96.8,97.2,96.8,94.8,91.4
Ellis,93.4,90.7,92.1,84.9,85.0,82.3,87.3,95.2,90.1,89.3,92.5,89.5,91.1,88.4,90.1,90.1,92.2,93.8,90.6,91.5,92.1,94.0,92.6,92.8,86.8,93.7,90.4,92.3,91.1,87.3,94.6
Estelle,89.4,90.8,91.6,90.0,89.8,81.9,83.2,84.3,90.9,91.0,89.4,89.5,92.4,90.8,92.7,90.9,90.3,89.5,89.8,92.1,90.8,90.1,92.5,90.7,91.8,91.1,88.1,89.7,89.0,88.1,93.3
Ferguson,89.8,89.3,89.2,87.5,87.0,87.7,84.4,88.1,89.6,90.5,87.4,92.5,89.9,89.7,89.9,89.5,92.8,93.1,94.8,94.1,93.4,93.7,93.0,92.0,89.6,91.1,91.3,93.5,87.9,93.7,94.6
Formby,83.5,87.6,91.8,88.5,87.7,83.3,88.6,82.3,83.5,86.1,87.5,89.2,90.5,92.1,83.7,82.6,89.2,91.6,90.1,89.0,88.2,88.1,89.5,89.7,90.2,89.8,88.6,89.9,88.7,86.2,92.7
Garza West,98.7,97.0,99.7,94.8,95.8,84.6,93.7,97.1,97.3,99.8,97.8,98.1,97.5,98.2,98.2,101.7,101.2,100.2,100.5,99.5,99.4,99.1,101.1,99.1,98.1,100.3,99.3,99.5,98.0,100.5,89.0
Gist,95.7,95.2,93.8,80.9,94.1,88.0,92.2,86.1,93.7,95.6,95.1,93.0,95.2,93.3,94.4,95.6,96.1,95.8,96.6,95.0,95.3,96.7,95.1,95.3,94.8,95.5,94.5,94.7,95.3,94.5,101.3
Goodman,90.8,90.4,93.4,88.1,83.8,84.1,86.0,89.9,88.6,86.1,84.6,83.5,90.0,90.4,88.1,85.9,90.4,94.8,88.4,86.5,90.4,90.4,94.3,84.7,87.3,88.2,85.8,91.0,88.7,88.3,97.5
Goree,87.1,88.1,86.6,89.3,91.7,80.6,81.2,86.0,84.4,85.9,87.1,87.4,89.2,86.6,87.8,88.6,85.8,89.6,87.1,88.9,86.3,89.8,86.5,87.0,87.6,85.9,87.3,86.1,86.1,89.9,89.6
Hightower,94.3,93.7,94.2,89.9,90.0,82.4,89.3,86.7,90.5,90.7,91.6,94.5,96.3,95.3,92.1,92.8,95.6,94.2,93.3,92.3,94.9,95.6,95.9,89.4,90.9,89.6,91.6,91.4,89.5,93.6,91.7
Hilltop,87.3,87.5,85.6,86.5,86.4,86.4,85.0,87.1,91.1,91.9,85.7,90.8,90.9,90.6,83.4,83.1,89.9,90.9,90.6,91.1,85.3,88.4,89.2,88.9,89.7,90.3,89.2,84.7,89.7,91.3,98.1
Hobby,88.9,87.9,89.0,89.3,89.1,92.6,87.3,89.5,91.7,91.6,91.7,91.8,91.8,92.2,92.0,92.4,92.0,92.7,92.3,92.1,91.9,92.9,92.4,91.2,92.4,92.5,92.8,91.2,93.5,92.9,94.9
Holliday,92.4,93.6,90.3,85.1,92.1,78.2,83.5,91.0,90.6,90.8,91.9,93.1,93.6,93.1,93.6,93.2,94.1,94.2,93.6,93.8,94.1,93.9,94.3,95.5,94.2,93.7,91.2,91.7,92.5,93.4,95.7
Hughes,89.2,87.8,90.3,90.0,89.4,86.8,93.4,91.3,91.2,91.5,92.3,93.0,94.4,94.6,93.3,91.9,95.1,95.1,94.8,93.5,93.6,92.9,92.7,93.7,94.1,90.1,91.7,91.7,92.4,93.1,97.8
Huntsville,92.8,89.6,85.4,89.5,86.8,83.9,83.6,87.4,86.3,89.2,89.3,91.1,89.3,88.1,89.4,90.4,93.5,91.0,88.9,89.3,92.0,85.1,86.2,89.3,88.5,93.0,89.5,92.8,90.3,88.4,92.4
Hutchins,90.2,88.3,91.5,92.4,92.9,93.7,91.4,93.3,90.8,90.5,87.3,91.4,90.4,91.6,92.8,85.9,92.2,93.2,93.5,92.4,91.9,89.4,88.8,91.1,92.0,91.5,92.2,92.9,91.1,93.6,93.4
Jester III,89.3,89.7,89.7,89.5,88.6,80.5,81.7,82.6,87.1,88.0,91.5,87.9,92.3,89.0,89.2,88.6,88.2,89.6,90.6,87.8,88.9,88.3,86.3,87.8,88.8,86.7,88.8,87.2,85.3,89.7,94.3
Johnston,93.3,84.7,92.8,81.5,92.9,92.6,91.4,92.4,85.3,87.5,82.0,92.4,92.3,93.3,93.3,80.2,91.2,93.7,94.7,94.6,93.7,88.2,89.0,93.4,95.2,94.5,94.7,95.6,94.8,95.1,92.2
Jordan,79.9,81.7,84.2,84.2,86.5,82.7,83.3,82.0,80.0,82.7,84.3,89.7,88.2,87.6,88.0,88.9,89.2,89.9,89.4,86.3,86.2,82.6,83.2,88.0,89.2,91.2,88.0,87.3,85.6,89.7,94.2
Lewis,93.2,87.0,89.6,90.2,86.8,85.5,83.5,91.9,91.1,90.8,92.4,89.1,91.9,93.1,93.8,92.8,92.9,88.2,92.0,94.2,92.2,95.0,89.8,94.7,90.2,91.7,91.3,89.3,94.4,95.3,89.9
Lopez,96.9,96.3,94.6,87.1,93.2,79.6,82.2,93.6,94.8,96.8,96.2,95.3,96.7,91.8,97.4,97.0,97.7,94.2,98.3,98.4,98.3,94.3,98.4,92.1,97.1,95.8,97.2,94.5,95.5,95.5,94.6
Luther,90.2,89.0,89.3,88.3,87.7,84.5,84.4,87.7,89.0,90.5,96.3,95.7,98.7,92.6,91.1,92.5,91.8,92.6,92.9,91.6,90.7,91.9,97.5,91.3,90.0,91.9,90.2,89.0,90.4,93.7,95.7
Lychner,98.1,96.7,96.5,92.5,86.6,81.6,92.3,93.6,98.6,99.2,96.1,95.5,98.8,98.4,98.0,98.8,97.5,96.5,97.1,97.2,97.1,98.2,96.1,96.7,96.5,93.9,95.7,96.0,96.9,95.6,91.2
Lynaugh,81.6,83.1,88.3,86.4,86.8,86.5,86.9,86.1,85.4,88.1,89.3,90.4,87.9,87.0,91.5,87.3,89.1,91.3,91.4,91.3,91.4,89.0,91.5,90.7,91.5,89.7,89.8,88.0,88.6,88.1,97.6
Mcconnell,91.8,91.2,92.1,87.8,90.9,84.1,88.9,91.3,91.2,91.3,92.8,92.7,93.1,92.3,92.2,93.2,92.3,96.7,93.6,99.9,95.3,91.5,92.3,92.1,90.4,91.6,92.5,91.6,90.7,95.8,89.8
Memorial,87.4,89.2,89.4,89.8,89.4,84.2,85.7,85.8,85.7,87.9,91.2,92.0,91.7,90.2,88.7,88.2,91.0,91.2,88.1,89.9,90.6,89.2,89.7,88.5,85.2,89.0,87.0,90.1,88.1,86.2,92.2
Michael,90.3,89.2,86.1,87.0,88.9,88.5,87.9,88.3,88.1,89.4,87.6,89.3,90.1,90.7,91.4,90.1,92.8,92.1,92.4,93.2,92.2,90.1,90.2,90.6,90.4,90.6,90.1,90.7,92.1,91.8,88.7
Middleton,77.0,88.3,90.4,91.2,92.6,83.0,88.8,92.3,89.8,91.3,91.4,96.4,96.6,95.7,92.6,94.8,93.7,97.0,96.6,96.2,93.2,93.3,94.0,98.6,97.1,97.3,92.4,95.8,94.5,94.3,93.7
Montford,77.0,87.3,91.6,85.8,91.0,84.5,86.1,85.2,88.9,84.8,88.8,94.1,99.1,87.3,89.4,88.1,90.2,90.0,89.8,92.6,88.7,89.3,89.2,89.3,91.2,88.7,88.7,90.8,89.6,89.6,96.3
"Moore, C.",84.3,93.1,95.3,88.9,90.5,87.5,87.2,91.6,91.5,87.6,84.5,91.3,91.4,90.9,89.5,78.9,92.5,94.2,95.0,93.5,92.0,87.3,92.4,92.4,94.0,93.5,94.3,93.9,94.5,93.4,88.4
Mountain View,93.5,88.3,94.3,91.8,90.8,90.1,87.8,93.0,92.4,91.7,89.8,93.0,95.0,96.6,96.0,95.3,97.5,96.1,95.0,95.5,95.3,93.3,91.6,97.2,93.3,95.4,95.3,93.5,96.3,98.5,89.5
Murray,89.1,87.2,89.9,89.7,90.1,86.8,84.5,84.4,87.2,88.0,91.1,89.3,90.0,89.6,85.2,85.9,86.1,95.8,85.5,87.8,90.6,86.6,92.6,89.9,89.9,82.9,87.0,80.9,85.9,84.9,93.5
Plane,94.2,92.6,94.8,96.3,94.0,82.2,90.6,89.3,94.9,96.4,94.2,94.5,91.1,94.4,94.8,96.5,96.5,96.1,94.6,97.3,93.2,94.1,95.1,94.5,92.2,93.3,90.9,95.4,100.5,97.7,85.0
