June 2022 - Daily Temperature Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Allred,87.6,78.2,76.4,81.4,89.4,89.5,91.8,82.7,86.2,91.5,95.4,94.1,92.5,91.3,92.9,89.6,89.9,94.1,90.2,89.8,92.3,91.3,91.4,94.3,95.0,93.0,82.0,80.8,84.2,89.6
Beto,82.1,80.8,82.2,80.0,83.1,84.4,83.7,81.9,82.2,81.9,85.0,93.5,86.5,85.4,85.0,85.1,89.5,81.8,87.3,87.1,88.3,88.3,88.1,89.1,89.4,88.2,83.3,82.8,83.1,87.0
Boyd,89.1,86.5,85.3,84.7,88.4,90.2,90.3,89.8,90.2,90.4,91.4,91.5,92.5,91.5,91.6,92.2,92.3,93.5,94.1,92.6,94.6,93.9,95.1,95.4,95.4,93.4,92.1,90.4,91.4,90.5
Bradshaw,90.7,78.9,85.2,87.5,91.1,91.3,90.7,89.5,90.4,89.4,92.0,94.7,95.3,90.5,93.1,95.6,93.3,93.4,94.1,95.2,94.3,93.7,95.5,94.0,95.0,96.1,91.1,88.2,92.8,93.8
Briscoe,85.6,85.1,89.5,91.8,94.0,95.8,87.0,97.2,94.8,95.0,95.5,95.2,92.4,88.5,88.2,86.2,92.6,89.9,92.3,85.6,87.9,86.5,88.7,91.9,92.1,96.8,90.0,86.9,87.6,92.3
Byrd,95.7,84.2,83.5,85.4,91.0,90.2,86.7,89.6,94.3,94.2,98.5,91.2,91.6,92.1,90.8,93.8,96.5,93.7,95.1,98.3,92.6,94.8,90.7,93.3,92.1,94.3,94.8,87.3,85.4,91.5
Clemens,86.7,84.2,84.1,89.2,95.7,86.5,87.0,88.1,89.0,88.1,90.3,90.6,88.1,87.9,89.0,90.3,85.3,88.3,90.1,91.3,91.1,89.2,89.9,89.0,91.2,90.5,89.9,86.9,85.6,81.0
Clements,67.0,57.8,76.0,78.1,82.0,80.7,77.7,74.0,77.0,85.0,85.0,86.0,89.0,87.7,83.5,85.0,83.6,84.7,85.5,85.0,84.7,81.7,85.2,85.7,84.2,69.0,74.4,79.9,83.5,79.2
Coffield,88.5,81.8,83.3,83.1,85.3,87.2,87.7,87.0,88.2,87.6,89.0,89.2,91.0,90.2,88.9,88.9,89.7,88.7,86.3,87.1,91.4,90.4,89.3,91.2,90.2,92.8,89.0,87.7,88.5,88.1
Cole,85.9,82.5,81.2,86.3,76.2,89.4,83.8,80.2,88.2,92.1,96.5,91.7,94.5,92.3,88.5,92.4,89.7,95.4,93.3,94.9,95.7,95.6,98.0,95.0,97.4,93.2,87.0,88.3,88.9,92.5
Connally,88.4,88.2,88.9,87.4,88.7,89.6,89.7,87.7,90.8,89.8,90.1,91.3,88.8,90.4,88.5,90.1,88.7,88.7,89.2,90.0,90.0,91.5,90.2,91.7,90.6,92.1,89.1,82.9,86.4,87.2
Crain,89.1,82.4,81.3,88.0,91.2,94.7,92.9,93.8,92.9,95.0,98.8,97.9,94.6,93.0,92.4,92.2,92.7,94.0,98.4,94.6,95.4,94.2,98.1,92.9,93.3,96.4,92.4,85.8,91.6,91.1
Dalhart,77.1,76.4,80.5,82.8,80.6,81.4,84.1,78.8,80.2,81.3,85.2,84.4,87.0,88.4,86.8,87.2,85.2,84.2,84.6,82.4,79.2,79.8,84.2,87.4,84.0,78.2,77.7,81.8,81.2,85.0
Daniel,87.1,80.9,80.2,84.3,88.4,85.0,89.9,85.2,89.0,86.4,86.9,87.4,87.6,91.2,87.8,88.7,89.5,88.6,87.6,87.4,88.3,86.4,86.8,89.1,87.8,87.9,81.9,86.0,83.6,85.8
Dominguez,95.1,90.2,91.7,94.0,93.5,96.5,98.3,96.1,96.0,95.8,99.2,97.4,98.1,96.0,92.8,96.8,95.4,94.9,96.0,96.6,97.4,94.8,96.3,96.2,94.8,95.9,99.1,85.8,93.5,96.4
Ellis,84.7,84.5,85.9,82.9,84.7,86.3,87.9,82.8,87.5,88.7,87.5,89.9,89.9,84.2,88.5,87.9,88.7,86.1,88.9,92.4,91.0,87.5,93.6,93.8,86.1,90.2,87.6,86.5,88.9,88.1
Estelle,83.9,82.7,83.1,83.6,84.6,87.5,87.3,87.3,88.5,86.0,87.6,86.3,88.0,89.4,89.7,90.4,88.2,87.7,89.7,92.4,89.3,89.7,91.3,89.7,91.6,93.3,91.8,87.6,90.9,89.2
Ferguson,91.1,90.3,89.4,90.4,88.4,93.2,92.4,92.7,93.8,87.3,94.8,94.5,95.2,95.5,95.9,89.5,99.1,96.8,95.1,88.6,95.8,96.8,96.8,96.7,89.1,92.0,98.9,88.9,88.6,94.5
Formby,73.4,74.4,78.1,82.9,86.0,85.9,80.0,80.1,83.5,86.9,92.0,89.1,92.5,90.6,86.7,89.7,85.6,88.9,87.2,87.7,89.5,88.5,88.9,89.6,89.7,81.4,84.4,85.0,86.2,86.2
Garza West,95.6,95.4,94.4,96.9,97.6,97.7,97.5,98.1,98.2,100.5,100.4,100.3,98.6,96.5,94.6,98.1,96.2,94.1,95.2,96.9,97.5,98.1,97.8,98.1,96.4,96.7,95.8,89.4,90.8,92.7
Gist,87.3,87.4,88.4,83.7,90.8,87.6,91.9,91.5,91.5,92.7,93.5,92.7,93.5,91.8,93.8,95.5,91.6,93.2,95.9,92.5,92.8,92.6,96.1,95.1,93.8,93.7,89.7,83.4,93.0,81.2
Goodman,90.0,90.0,83.9,84.7,89.2,89.8,90.9,91.6,93.3,92.6,92.4,94.6,94.0,90.4,91.4,92.9,90.7,91.9,94.2,92.6,92.6,92.8,96.0,94.4,93.7,94.4,90.8,89.8,92.9,87.3
Goree,78.8,79.6,80.7,87.0,86.3,88.5,89.5,89.8,89.9,88.7,91.7,89.2,92.0,88.5,96.2,87.1,94.7,97.9,97.6,85.1,93.1,90.8,92.2,93.5,90.0,90.5,92.3,86.5,93.0,90.3
Hightower,94.0,87.4,85.5,85.4,85.5,87.0,87.5,87.2,89.7,88.7,88.1,88.7,89.8,89.8,89.3,88.5,88.8,88.3,89.8,89.9,89.3,89.3,89.8,90.4,89.0,89.8,89.9,89.9,88.2,82.7
Hilltop,83.5,76.6,75.8,75.7,81.4,82.6,82.5,83.1,84.1,85.6,86.5,87.6,85.9,86.5,85.3,85.0,87.1,86.1,85.6,87.7,87.9,87.5,88.3,89.0,88.8,87.4,87.0,81.7,83.3,84.3
Hobby,96.4,88.6,89.4,92.6,92.8,98.2,101.4,96.0,99.5,95.7,100.6,101.3,97.3,98.2,92.1,99.9,98.4,90.2,94.0,92.6,98.2,90.2,98.3,95.9,98.7,96.4,97.5,91.4,92.2,90.2
Holliday,90.3,85.9,88.2,86.4,89.6,92.4,91.6,92.7,93.2,96.2,94.5,95.2,95.2,94.6,96.2,96.3,94.2,93.4,95.1,97.0,93.6,92.3,98.6,97.0,94.2,96.8,94.2,91.3,93.5,91.0
Hughes,92.1,85.7,80.7,82.9,88.8,89.5,88.3,89.0,90.4,91.1,93.5,95.8,92.3,90.7,91.4,91.7,91.8,89.2,91.2,92.4,95.1,92.6,94.7,94.0,92.2,91.9,91.2,85.5,82.0,90.2
Huntsville,83.4,82.6,81.8,80.1,83.2,89.1,88.9,90.2,90.8,90.9,89.1,91.0,90.6,93.1,89.0,87.8,90.7,90.0,93.0,92.3,89.5,88.1,93.3,92.1,88.2,92.9,87.5,86.4,84.2,88.8
Hutchins,82.1,85.2,85.8,86.9,90.0,94.9,91.8,87.0,91.0,94.2,96.2,93.4,96.1,91.7,88.2,94.7,96.1,95.8,95.5,96.4,95.5,95.5,96.3,96.5,96.5,97.9,93.1,88.3,92.5,93.3
Jester III,87.8,84.0,82.8,85.5,87.6,90.3,88.9,86.9,90.6,91.5,93.5,89.0,86.6,86.7,87.7,87.8,88.1,87.1,89.5,89.0,89.0,91.2,89.7,89.8,90.0,90.3,91.5,87.8,90.2,85.6
Johnston,87.0,85.0,84.9,85.3,87.5,87.1,87.3,87.8,89.2,88.3,89.3,90.0,90.6,91.8,90.7,92.3,93.0,92.1,91.9,93.1,94.0,91.1,88.3,90.7,91.3,94.1,89.5,87.7,89.6,91.4
Jordan,72.4,72.4,74.2,76.7,79.2,79.3,79.1,76.2,77.3,79.2,83.4,85.8,86.3,86.3,85.8,86.6,84.8,86.7,84.9,84.5,84.5,85.2,85.8,85.8,86.4,74.9,75.9,77.6,80.5,81.7
Lewis,84.8,90.2,89.2,88.4,89.7,87.9,89.2,89.7,96.7,88.4,98.3,98.6,96.6,93.2,97.3,97.1,99.2,96.0,94.0,95.2,92.8,97.6,98.8,97.5,93.6,97.2,96.2,88.3,94.8,95.6
Lopez,88.0,90.0,88.9,88.7,88.3,92.8,88.1,91.4,86.0,87.0,90.0,89.0,84.5,86.4,85.0,90.0,88.8,98.1,87.7,90.4,87.5,83.0,88.0,91.8,87.7,87.6,87.5,87.6,87.6,92.1
Luther,86.3,88.7,85.3,85.6,88.9,91.8,88.0,88.5,87.8,92.3,90.0,91.4,91.7,92.2,90.4,90.8,89.3,89.1,92.4,93.1,89.8,93.0,89.8,90.7,89.1,92.0,91.2,89.6,89.3,87.3
Lychner,89.1,88.7,86.4,87.2,87.2,89.2,93.6,93.8,94.6,94.6,96.8,96.4,96.8,93.7,96.3,93.0,85.4,93.9,95.9,93.0,96.4,88.5,90.4,89.4,94.5,96.4,90.7,90.4,94.0,80.8
Lynaugh,86.7,80.6,80.5,82.3,81.5,86.1,86.9,90.0,79.3,85.6,88.2,88.9,90.0,88.7,88.7,90.1,87.8,85.6,87.7,87.9,87.6,80.6,85.3,85.7,88.1,88.0,88.6,88.9,88.9,90.6
Mcconnell,88.8,89.0,89.8,87.6,90.5,89.3,90.5,90.4,90.0,91.5,92.0,92.8,89.7,89.3,89.9,92.0,89.2,89.7,90.5,91.6,91.5,90.5,92.2,90.4,89.5,89.9,92.4,91.3,87.7,89.1
Memorial,83.3,85.0,83.2,86.3,87.0,85.1,85.2,85.8,85.5,85.6,86.7,88.3,83.8,84.3,84.2,86.2,85.0,86.5,87.7,86.2,84.6,86.7,85.5,83.6,88.9,89.4,89.9,86.6,84.8,80.5
Michael,83.6,81.0,82.3,82.3,82.5,83.7,84.6,85.1,85.5,85.9,86.9,87.1,87.5,88.5,87.7,87.7,88.3,87.7,88.4,88.5,88.4,89.2,90.2,90.3,90.1,90.1,90.5,89.0,89.2,89.5
Middleton,91.8,84.2,79.8,89.2,95.6,98.0,100.7,87.8,98.9,97.8,100.9,99.2,96.4,95.7,94.8,91.8,95.3,97.0,94.6,94.0,97.5,95.0,95.5,96.1,96.3,93.5,86.6,88.7,88.7,93.8
Montford,81.5,75.3,75.8,78.1,82.9,70.3,83.4,80.7,83.3,85.8,90.7,88.8,88.2,87.5,87.4,88.5,84.8,83.9,82.1,84.5,83.7,85.3,85.6,85.5,84.5,81.8,82.0,84.3,82.5,87.0
"Moore, C.",86.1,81.9,83.6,84.2,77.5,88.6,84.1,84.5,86.9,87.8,93.3,94.6,91.4,91.4,89.8,92.6,92.1,90.7,91.0,91.6,91.6,92.9,92.4,97.2,95.3,93.3,86.5,86.6,88.3,94.0
Mountain View,85.1,81.1,83.3,83.2,85.8,86.6,87.1,86.4,87.4,89.1,92.0,91.6,91.5,89.1,94.5,88.2,92.1,93.1,92.2,89.7,91.0,93.8,92.5,88.9,88.4,92.3,91.2,82.4,86.5,88.8
Murray,87.4,86.6,76.6,85.7,86.6,90.1,80.4,83.4,83.7,87.8,92.4,91.6,94.4,94.8,97.9,93.9,100.5,93.7,91.6,84.6,88.4,97.8,99.7,93.9,92.8,95.3,91.9,89.8,94.0,91.3
Plane,87.1,85.0,88.6,89.7,88.6,92.0,87.3,87.7,88.2,88.1,88.9,88.3,89.0,90.6,89.4,88.5,88.8,89.3,90.2,89.5,86.8,92.3,90.4,91.6,90.2,91.4,88.4,88.2,90.5,80.8
Polunsky,85.4,92.4,84.1,85.3,91.7,97.3,88.6,89.8,96.7,90.6,97.6,99.2,97.6,90.2,90.3,95.7,91.1,94.2,92.7,90.2,94.2,91.7,92.5,94.2,92.9,94.3,93.6,91.1,93.0,92.3
June 2022 - Daily Temperature Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Powledge,88.9,80.7,76.5,84.9,88.8,88.6,89.4,89.6,89.5,90.2,98.2,92.9,90.5,90.5,90.9,91.9,91.5,90.2,92.6,94.2,92.3,92.4,95.4,93.8,94.3,94.5,92.1,87.6,91.6,91.4
Ramsey,88.3,88.2,87.4,87.0,87.8,88.0,88.9,88.6,90.9,90.2,91.5,91.2,90.9,90.4,90.6,91.4,90.5,89.9,91.4,92.0,92.7,88.3,92.4,91.6,91.8,92.1,91.4,88.6,88.3,83.3
Roach,77.6,73.4,74.4,78.5,81.9,83.9,83.7,79.5,82.4,85.1,86.0,88.7,87.2,89.2,88.3,90.3,86.0,87.8,87.1,86.3,88.5,88.6,88.7,87.9,91.6,86.5,79.9,82.2,81.6,81.9
Robertson,82.0,81.1,82.0,84.3,92.1,94.5,95.2,88.6,89.9,90.2,92.2,91.9,90.4,89.9,92.3,88.2,89.7,91.9,90.5,88.8,92.8,90.0,91.8,92.0,93.7,93.1,86.8,87.4,86.2,87.7
Sanchez,85.5,88.3,85.3,91.7,88.5,91.7,93.0,93.0,92.8,89.6,97.4,99.6,95.1,97.6,96.1,94.2,93.1,95.0,87.8,83.2,78.7,85.8,88.6,87.9,91.1,85.8,85.8,86.3,88.7,91.3
Sayle,78.5,76.6,75.7,77.6,80.6,76.6,77.3,77.2,77.6,77.5,78.4,78.8,80.0,79.2,79.7,79.7,79.0,79.1,78.7,81.2,79.8,81.0,79.6,78.8,80.2,79.7,80.0,81.2,81.2,79.9
Smith,88.7,81.5,79.7,79.4,80.7,82.1,83.5,82.9,83.8,82.7,83.5,83.7,86.5,86.2,85.1,86.0,86.5,85.0,84.2,84.4,85.6,84.2,86.7,87.0,87.5,86.3,85.1,85.1,84.7,85.3
Stevenson,95.5,96.8,94.9,97.7,87.8,97.6,95.7,95.1,94.7,98.6,98.7,98.7,96.1,92.6,98.6,91.1,94.7,89.2,98.9,96.5,97.0,97.7,97.3,97.3,94.6,91.4,98.3,96.5,94.9,94.3
Stiles,95.7,93.9,84.8,91.5,96.5,98.6,105.5,104.2,89.9,92.6,91.3,91.5,91.9,90.4,91.2,92.0,90.7,90.6,92.1,92.8,92.4,90.0,92.8,93.3,93.5,92.8,89.2,90.0,90.6,83.1
Stringfellow,88.7,94.3,93.6,86.7,89.0,86.5,83.5,84.7,85.6,90.7,84.6,84.6,88.0,91.2,91.0,88.7,90.8,90.3,91.7,91.5,93.2,89.3,92.5,91.9,93.1,93.5,91.3,88.7,89.5,81.4
Telford,86.6,79.6,80.0,80.1,83.1,79.2,82.6,76.5,93.4,81.4,90.9,87.8,88.5,86.4,88.6,87.0,86.5,89.2,87.4,86.3,89.4,88.7,88.0,89.4,88.6,89.0,85.2,84.3,84.6,86.3
