June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Allred,84.1,85.3,82.7,81.7,82.9,83.1,83.5,84.4,83.4,85.7,88.3,80.2,84.1,84.1,92.1,84.3,85.9,86.5,95.0,96.9,101.9,93.2,96.7,90.6,95.5,103.0,96.2,94.6,95.1,93.0
Beto,82.3,81.8,82.6,81.7,80.1,80.4,83.3,82.2,81.8,85.1,81.4,79.4,85.6,84.9,86.9,86.7,87.6,87.3,88.4,89.3,89.0,86.8,88.0,86.5,88.8,87.3,87.3,88.5,89.1,88.7
Boyd,88.6,88.6,89.3,85.0,84.6,86.0,87.2,81.1,85.2,88.0,88.3,88.7,86.5,86.8,89.2,90.2,91.5,90.1,93.3,91.8,90.1,85.5,89.3,90.5,91.4,90.9,90.2,90.9,92.1,90.1
Bradshaw,86.5,88.9,82.7,84.1,79.9,88.3,78.4,86.9,88.7,77.0,91.5,83.7,89.7,90.0,86.7,90.6,92.7,89.7,91.4,104.0,91.8,91.8,90.4,91.2,91.2,91.4,93.3,93.1,92.2,91.8
Briscoe,84.6,86.2,87.1,86.4,86.3,83.7,88.1,87.5,90.9,88.9,92.5,92.2,93.8,91.6,92.0,95.5,92.7,96.5,95.5,95.7,97.6,95.7,98.2,96.2,96.4,97.7,97.9,92.8,92.3,93.8
Byrd,80.2,83.4,84.3,78.2,79.6,78.2,78.4,78.6,80.6,84.1,84.8,88.0,89.3,90.2,89.8,89.4,92.1,93.1,91.0,86.5,88.2,87.1,85.4,87.2,85.5,86.1,86.4,85.5,87.6,90.6
Clemens,80.8,84.5,83.7,83.2,79.9,74.4,78.0,84.8,80.1,78.7,81.0,83.3,83.6,82.7,86.6,86.2,82.0,81.9,84.0,86.4,84.7,85.1,84.1,87.3,89.1,88.7,88.2,85.7,85.5,87.5
Clements,73.0,72.0,70.9,71.2,71.3,72.4,73.3,77.1,74.9,75.6,76.5,75.2,74.7,75.0,76.0,75.2,76.2,77.0,78.6,79.8,79.9,81.3,80.4,81.7,81.5,81.7,83.3,85.1,85.9,83.7
Coffield,85.3,86.1,85.6,83.8,83.0,83.7,84.0,82.6,89.8,96.3,95.2,85.3,95.1,86.6,89.0,88.3,89.4,87.2,88.5,91.4,89.4,85.6,84.5,87.3,87.6,90.5,89.6,91.4,91.4,88.9
Cole,84.1,87.7,85.2,81.9,82.5,88.9,88.8,88.3,88.6,85.3,92.9,77.5,74.5,79.6,91.5,79.8,90.3,79.8,85.9,92.9,85.0,87.5,94.5,94.6,93.6,86.4,90.2,86.4,95.4,95.3
Connally,84.7,88.6,89.9,84.2,83.1,82.1,88.0,86.3,95.8,96.1,97.9,96.6,89.7,90.8,91.9,92.4,91.4,92.6,93.2,92.4,93.3,98.6,92.1,91.1,92.4,91.9,90.8,91.2,95.4,90.9
Crain,87.4,89.2,87.5,80.5,86.2,84.3,88.5,87.1,88.2,92.1,91.9,88.5,85.5,90.6,91.3,95.4,90.3,94.1,93.5,93.7,91.1,90.8,89.8,94.5,91.1,94.2,95.5,96.3,98.3,92.5
Dalhart,76.7,72.6,76.7,74.9,77.6,77.6,78.5,79.2,80.7,79.8,80.7,76.3,79.3,77.6,77.0,79.2,79.1,79.2,78.2,81.7,81.3,74.1,83.1,79.8,77.2,86.1,88.7,86.7,77.4,82.7
Daniel,77.5,77.7,75.3,74.7,74.9,76.8,77.4,78.4,81.3,82.3,84.2,78.4,76.3,79.8,82.2,82.5,83.5,83.7,86.0,89.6,91.6,86.5,86.8,86.0,87.9,88.5,90.4,91.2,88.9,91.2
Dominguez,85.8,89.3,87.4,82.8,85.0,85.5,83.5,89.9,93.9,90.9,93.2,92.4,91.8,90.7,93.5,96.1,90.9,96.8,95.3,94.9,99.1,91.9,94.4,95.2,94.8,98.5,98.5,96.8,95.1,95.6
Ellis,87.8,92.7,85.8,87.9,89.6,91.1,89.7,89.5,86.0,89.0,87.0,87.5,90.9,89.0,91.6,92.4,94.4,87.2,88.9,91.8,91.3,87.5,92.1,92.5,91.5,88.4,94.6,88.5,94.5,94.1
Estelle,82.9,84.4,86.1,79.1,80.1,81.3,83.6,83.5,85.2,87.9,85.2,87.1,88.5,86.5,87.8,89.3,90.2,90.1,91.7,91.8,91.6,86.6,88.8,87.5,89.1,89.9,88.9,90.8,88.0,89.9
Ferguson,85.4,86.7,86.2,83.7,87.6,82.4,86.8,82.2,84.5,87.4,86.3,86.3,87.3,89.4,89.5,92.4,92.0,90.7,93.0,93.2,89.2,87.3,91.0,90.9,91.9,90.5,90.6,92.2,88.9,90.7
Formby,76.6,76.6,81.1,79.5,78.6,79.3,83.8,81.0,88.5,84.2,85.0,77.2,80.1,83.1,84.3,82.3,81.5,83.3,88.5,92.3,91.2,90.4,85.7,88.9,92.1,95.5,92.0,90.5,86.7,88.6
Garza West,91.5,93.5,93.1,94.0,81.4,90.7,93.3,97.2,97.6,96.5,97.8,95.6,96.7,95.6,95.5,97.8,100.8,99.6,100.0,100.0,101.4,98.2,99.4,101.0,100.9,101.5,102.6,98.0,98.5,98.0
Gist,85.8,92.4,92.6,85.3,85.9,86.7,91.2,82.8,90.4,91.6,89.6,90.3,91.3,90.2,93.7,93.8,93.1,93.5,93.3,85.3,95.3,88.1,91.4,93.1,92.7,93.2,94.9,95.4,94.3,94.5
Goodman,84.5,84.9,76.6,83.2,82.1,87.7,92.7,88.3,93.7,97.0,98.7,94.2,96.0,99.8,99.7,99.1,100.3,98.4,93.3,90.4,90.0,87.2,93.3,88.6,89.0,98.4,90.2,90.4,87.2,93.4
Goree,82.7,85.0,84.7,80.4,79.9,78.0,79.6,81.5,80.8,85.0,81.1,82.9,83.4,83.6,85.9,82.0,84.2,88.7,90.8,90.8,89.2,84.4,88.0,91.3,89.6,89.3,90.5,88.8,84.5,90.2
Hightower,85.5,86.2,87.3,82.5,84.8,73.1,83.9,85.9,88.2,87.5,89.1,88.5,87.9,88.9,91.6,90.9,87.3,90.3,91.2,89.9,90.2,91.2,87.4,91.1,91.9,88.9,95.1,93.3,93.4,90.9
Hilltop,78.0,79.7,80.2,79.8,78.9,81.7,78.6,79.2,79.9,82.2,80.2,81.7,78.9,82.3,83.3,84.2,83.8,84.3,87.2,87.5,87.8,85.3,83.1,83.2,87.2,89.0,88.5,88.7,87.8,88.4
Hobby,83.1,86.3,85.9,84.5,86.3,83.4,86.0,85.0,82.0,87.1,84.0,94.6,95.3,86.4,88.1,89.2,87.6,88.0,104.7,104.0,102.3,89.1,89.0,90.0,89.5,90.5,89.5,89.3,89.9,90.0
Holliday,88.7,89.5,87.9,81.9,87.0,86.7,87.4,86.2,87.7,88.1,88.7,90.0,88.2,88.8,89.1,91.1,90.4,91.2,92.1,89.5,91.4,87.2,89.9,89.7,90.5,93.3,91.8,90.5,93.0,91.0
Hughes,84.0,89.9,87.4,81.9,80.6,83.3,85.1,86.3,87.0,90.9,86.4,84.8,84.7,86.8,88.0,91.1,85.8,89.7,89.0,89.2,89.0,87.5,89.3,88.0,89.7,90.5,92.7,94.7,91.7,90.0
Huntsville,87.1,86.7,88.0,79.8,81.4,84.9,86.4,84.1,85.0,89.5,85.0,85.1,89.3,89.8,91.1,89.8,89.1,91.4,91.2,91.8,93.5,89.7,85.9,85.2,88.4,85.5,87.4,88.4,86.8,91.4
Hutchins,87.0,88.6,89.6,87.1,84.6,86.6,90.0,88.3,89.9,89.5,90.5,85.0,82.3,87.9,89.6,91.2,92.1,89.5,94.5,93.7,90.3,89.3,89.4,92.8,94.0,94.2,92.9,92.0,93.3,92.8
Jester III,84.6,85.4,86.3,82.7,80.6,83.1,84.2,86.3,85.6,88.5,89.9,89.5,88.8,89.1,90.5,93.5,95.1,89.7,89.9,89.1,89.1,89.1,88.7,88.2,94.9,88.5,88.3,88.7,88.0,87.9
