May 2022 - Daily Temperature Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,78.1,82.9,76.9,76.6,77.1,79.5,82.8,90.3,94.8,95.6,90.3,87.3,92.0,86.3,88.8,85.3,87.6,93.5,95.1,88.1,77.2,77.0,76.6,73.0,77.0,77.6,79.8,87.1,88.3,89.9,88.4
Beto,78.8,80.8,77.8,78.5,74.6,77.9,79.6,84.5,83.6,84.3,85.0,84.9,80.9,81.5,82.2,81.3,84.1,83.9,82.6,85.5,86.6,73.8,77.0,74.5,80.3,77.4,77.1,81.0,82.2,82.1,84.0
Boyd,83.3,84.9,78.5,83.0,74.2,82.6,87.1,89.0,88.4,88.1,86.1,91.8,88.5,88.8,92.1,89.0,90.3,89.8,87.9,88.7,89.6,75.2,81.7,84.6,78.2,83.6,84.3,86.4,84.4,87.2,87.4
Bradshaw,84.4,87.0,84.6,88.7,72.3,81.8,86.5,90.8,91.6,90.4,88.0,90.2,88.4,88.0,88.8,89.7,82.7,87.0,89.8,90.8,89.9,77.8,78.4,74.5,81.0,85.1,84.1,88.3,83.2,90.3,90.4
Briscoe,87.3,84.1,84.2,87.6,91.3,90.6,100.4,98.9,89.2,87.9,84.8,84.1,83.6,89.6,89.3,90.1,90.0,86.1,89.7,84.7,90.1,83.7,80.2,80.9,80.7,87.9,88.2,92.2,94.7,97.6,89.9
Byrd,86.5,84.7,88.0,89.8,85.4,77.3,89.9,91.5,93.1,90.4,92.0,85.4,84.5,82.8,86.3,90.1,89.5,90.0,84.6,89.6,90.3,81.3,76.4,76.4,77.4,81.0,81.2,86.9,89.6,91.0,85.5
Clemens,85.4,81.6,81.8,82.0,83.1,86.4,83.4,85.4,85.6,85.6,83.4,85.6,83.6,83.9,86.2,87.9,85.4,86.1,86.1,86.5,86.1,81.6,81.6,81.6,77.7,83.6,83.6,88.3,85.4,86.8,86.1
Clements,74.0,77.7,72.0,71.5,71.1,75.3,78.2,80.5,86.1,83.1,83.1,83.6,79.0,80.5,81.4,79.0,82.1,81.8,81.3,77.4,69.4,75.5,72.0,71.5,71.0,76.0,78.0,84.0,85.0,81.2,79.0
Coffield,80.5,84.0,75.6,83.0,76.0,76.6,83.0,87.5,86.0,86.7,82.2,83.3,83.4,85.2,84.5,82.7,84.0,86.4,85.7,86.7,83.9,72.5,78.4,78.4,79.5,81.5,82.5,84.6,85.1,85.5,87.3
Cole,83.3,82.0,71.4,84.5,73.6,78.2,83.5,82.0,88.6,89.2,89.3,82.0,89.2,91.4,89.1,86.1,87.7,86.7,90.1,86.3,80.5,70.3,79.3,69.5,77.1,81.5,85.5,89.5,89.9,86.1,87.0
Connally,83.5,82.1,84.0,84.8,83.0,86.8,88.6,89.7,88.2,86.7,85.9,85.5,84.6,86.0,86.1,85.8,87.5,87.8,88.6,87.8,89.2,82.1,85.3,83.5,82.3,84.7,87.5,88.5,88.2,88.0,89.1
Crain,84.0,83.9,79.3,84.9,76.6,85.9,92.5,95.7,90.5,88.5,86.6,89.3,93.0,89.7,91.0,94.1,91.2,92.1,92.6,86.3,90.4,80.1,82.7,81.4,78.1,86.7,89.3,92.5,88.9,89.2,90.0
Dalhart,77.6,78.3,77.5,79.5,75.8,79.3,79.8,80.2,80.7,81.3,82.0,88.1,80.0,83.3,81.7,77.4,84.5,81.0,85.9,76.6,78.6,72.6,79.1,60.7,76.9,78.2,82.8,82.9,82.0,80.2,78.9
Daniel,79.4,79.8,76.8,78.2,76.7,80.2,80.9,82.6,83.8,84.5,86.8,86.8,87.2,84.7,88.7,85.0,84.7,85.4,85.5,85.6,80.2,79.3,79.1,75.8,76.7,78.1,80.4,81.7,85.3,85.2,89.4
Dominguez,87.5,80.1,83.5,87.7,86.8,92.8,96.4,93.1,91.9,94.2,92.9,91.8,89.2,92.9,94.8,93.4,94.8,95.3,93.9,92.4,95.5,83.0,85.5,86.6,84.3,90.0,89.8,93.8,93.0,90.7,94.7
Ellis,81.6,78.7,82.7,81.2,80.4,77.1,84.5,86.1,81.9,85.9,85.8,85.4,85.3,80.7,80.3,87.5,84.9,86.9,85.1,84.2,87.4,77.8,74.3,72.5,77.2,79.8,81.9,84.9,87.0,87.5,82.2
Estelle,80.6,82.0,82.1,83.6,81.3,76.8,88.0,82.0,86.5,85.0,84.6,84.5,83.3,82.9,84.0,86.0,86.0,84.6,86.1,86.6,85.5,78.5,76.9,73.2,76.3,80.4,82.8,82.8,90.1,84.5,86.8
Ferguson,74.9,82.3,84.7,80.0,85.3,79.4,82.4,89.8,89.7,87.9,87.7,85.7,85.4,84.0,91.0,90.7,91.3,91.0,89.9,91.4,92.1,87.4,82.9,83.7,81.6,81.4,83.5,81.0,87.4,93.4,93.2
Formby,79.2,81.0,77.9,80.2,77.4,80.4,84.1,85.7,85.9,91.9,86.8,86.0,82.3,84.6,83.8,82.1,86.2,82.9,82.0,77.6,76.8,76.2,76.7,74.5,77.1,78.2,83.6,81.5,89.7,82.6,88.8
Garza West,92.1,88.4,87.8,90.5,89.6,95.1,97.4,94.6,92.4,94.2,93.0,93.2,93.4,94.7,89.4,85.2,94.2,92.7,92.7,90.3,96.8,87.5,91.5,89.9,87.5,94.6,96.0,96.7,94.5,93.6,92.1
Gist,88.8,85.3,87.8,86.6,85.7,83.9,89.0,88.5,90.3,90.0,88.6,89.7,88.6,88.7,88.5,86.7,87.5,87.9,87.5,90.0,90.4,82.6,77.8,77.5,86.0,83.9,90.8,88.5,88.2,89.5,90.2
Goodman,86.8,83.7,82.0,85.6,84.6,83.7,86.3,88.7,88.9,89.7,88.4,89.4,89.5,88.8,89.7,88.8,89.8,91.1,90.7,89.6,90.2,85.6,78.2,77.2,84.0,84.0,87.7,87.0,89.0,88.8,90.4
Goree,79.9,80.1,82.0,83.5,79.6,76.5,77.5,85.9,85.1,84.5,86.5,85.3,82.1,82.8,81.8,80.0,83.2,80.2,84.5,81.6,82.5,78.3,83.5,76.6,76.8,74.6,80.4,78.6,79.5,79.1,83.5
Hightower,78.9,83.0,82.3,82.9,83.5,83.3,85.3,84.6,85.6,88.6,84.2,86.1,85.3,84.8,82.5,88.1,89.4,85.9,86.9,86.5,86.7,85.9,79.8,73.1,79.4,89.6,87.3,85.3,85.1,84.8,94.9
Hilltop,77.3,74.7,75.5,76.0,76.4,77.3,78.7,80.5,83.4,81.4,81.6,79.7,80.4,81.7,84.9,83.8,80.9,80.2,81.8,80.4,85.4,77.5,76.0,76.4,77.4,74.4,75.5,77.6,82.2,80.7,79.5
