May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,80.3,79.2,81.6,80.2,77.1,81.5,79.1,80.6,77.1,78.1,78.9,75.9,79.1,79.8,83.7,78.8,78.5,80.5,86.5,85.6,83.5,81.1,88.1,86.3,91.0,85.1,84.7,85.1,84.6,78.5,81.8
Beto,79.7,74.4,73.3,74.5,74.4,76.5,79.1,80.4,83.7,78.9,77.2,70.1,72.3,75.2,80.4,75.6,75.2,83.5,83.8,82.8,84.4,83.8,78.5,84.6,83.7,83.4,86.8,78.3,81.1,82.4,77.4
Boyd,82.3,79.2,79.6,81.6,81.3,81.7,85.5,84.9,87.7,82.8,83.8,72.8,74.5,83.2,81.7,75.6,77.7,84.2,85.4,85.9,87.5,87.0,79.4,86.6,87.0,87.5,89.2,81.6,86.3,84.0,79.1
Bradshaw,85.0,80.9,80.7,78.2,78.3,79.8,85.4,83.5,79.8,79.0,79.4,75.4,75.4,80.2,84.8,77.9,79.2,83.9,84.6,85.8,91.4,89.3,76.8,89.5,85.9,91.6,88.0,76.3,83.7,83.2,81.5
Briscoe,79.8,94.7,85.6,83.0,73.5,93.1,85.7,94.5,88.9,84.9,85.0,85.8,77.2,88.2,89.7,94.2,88.1,98.3,90.3,92.2,90.3,93.5,94.1,93.7,95.6,91.8,92.3,95.0,91.0,89.4,88.2
Byrd,78.7,74.9,72.9,77.1,77.3,76.3,77.2,83.1,81.9,77.2,72.8,72.4,74.1,80.2,77.2,77.3,75.8,80.0,80.2,84.6,79.8,84.1,79.5,88.5,89.6,87.1,87.0,77.9,83.0,81.1,76.1
Clemens,84.2,80.5,81.7,81.7,77.2,81.5,82.7,82.0,92.1,88.4,77.1,89.7,79.2,82.0,85.9,83.8,79.8,81.7,85.9,85.0,91.4,82.1,84.7,87.3,86.5,86.4,85.1,82.5,81.2,84.7,85.4
Clements,71.5,71.0,71.0,69.0,68.0,70.6,71.2,73.4,72.3,71.5,68.1,70.1,71.5,78.0,74.5,70.6,74.5,81.4,76.2,78.4,76.9,77.0,81.0,74.9,77.8,77.4,78.2,78.7,74.1,74.2,73.5
Coffield,81.8,87.4,79.1,82.8,82.7,86.7,90.5,94.6,87.3,83.5,81.2,78.3,79.3,81.4,83.3,77.8,81.1,86.6,93.3,87.8,96.8,87.3,81.8,86.7,86.3,87.1,88.7,82.8,83.6,90.3,78.9
Cole,80.2,84.1,88.9,87.1,81.2,87.7,81.7,87.5,79.3,80.2,80.9,72.8,81.6,80.1,87.2,74.5,80.6,90.4,91.5,87.5,88.9,79.2,85.2,95.4,84.8,90.1,90.3,75.1,81.7,69.4,84.1
