May 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allred,73.9,77.6,71.9,74.1,75.6,69.1,74.2,77.4,75.3,77.2,77.8,77.2,80.9,85.9,80.2,82.6,82.1,85.2,85.1,78.7,82.5,81.6,82.5,86.8,85.5,79.2,80.2,78.5,77.2,77.9,80.9
Bartlett,83.9,79.8,80.4,75.2,70.6,77.3,75.1,84.1,76.1,75.7,78.5,81.4,81.8,84.6,86.3,87.0,87.3,85.8,84.9,88.2,80.0,87.7,86.3,80.2,78.8,77.0,76.0,76.5,78.8,78.5,73.7
Baten,78.7,77.9,77.1,76.6,73.1,71.0,79.9,76.4,74.5,77.8,75.1,74.6,79.0,78.6,77.4,77.0,75.6,80.5,76.7,79.0,79.5,76.0,79.3,81.2,76.2,74.6,72.7,76.7,76.7,77.6,81.3
Beto,76.1,75.3,71.4,70.9,72.8,70.3,76.6,78.4,78.1,74.1,72.8,73.5,77.8,78.9,77.9,81.6,79.5,78.8,81.0,81.9,80.2,81.2,84.0,85.5,86.0,78.8,78.7,69.2,82.0,80.7,78.5
Boyd,79.1,77.8,74.9,75.6,75.5,71.1,75.5,80.8,76.5,78.2,75.6,78.3,83.3,84.2,87.1,86.5,88.7,84.8,83.8,85.2,82.8,84.6,89.8,88.1,87.5,83.0,86.4,79.1,82.1,82.2,84.3
Bradshaw,88.7,76.7,76.9,78.2,77.6,75.8,83.2,82.4,77.4,77.4,73.4,78.1,88.0,90.9,89.0,95.9,91.2,88.0,89.1,84.3,82.1,86.4,89.5,93.8,98.2,79.9,79.3,68.7,82.1,81.3,79.9
Briscoe,93.2,88.3,81.3,81.1,83.3,87.3,87.7,84.7,82.8,81.7,81.9,85.4,87.0,98.2,94.9,94.0,92.6,90.9,93.1,92.3,93.6,93.5,96.3,91.9,91.8,91.7,90.4,86.5,89.6,83.5,87.7
Byrd,78.6,76.6,70.3,69.6,70.1,74.0,73.4,75.0,76.7,71.5,73.5,72.8,79.6,80.1,81.7,84.1,84.3,84.7,80.7,82.3,80.7,83.1,83.3,86.2,87.5,76.1,81.2,77.0,81.5,81.8,81.5
Clemens,81.3,82.1,77.9,78.8,73.1,80.3,75.4,77.5,77.0,76.9,75.0,78.5,82.3,82.0,80.5,83.2,82.2,83.2,82.3,83.4,83.4,82.6,82.4,85.2,84.6,80.4,79.4,77.3,82.0,80.2,81.5
Clements,68.2,68.4,69.0,71.2,65.2,63.4,62.6,63.1,64.0,65.5,66.2,67.8,69.9,72.4,72.7,73.4,74.1,74.8,73.9,73.8,74.4,75.9,78.8,77.5,79.0,77.3,76.2,77.4,78.2,77.8,78.2
Coffield,78.1,78.0,74.9,74.0,75.0,71.9,73.2,79.1,77.8,75.8,77.3,76.7,82.0,84.2,84.5,86.0,87.2,84.8,84.2,84.0,81.3,82.8,86.0,87.5,88.1,81.5,79.5,77.6,79.4,79.5,79.9
Cole,76.2,71.1,77.8,77.7,73.2,69.7,79.2,77.4,78.5,76.7,76.1,82.6,84.3,89.7,82.8,86.1,84.2,78.1,84.9,80.1,86.6,77.6,88.7,88.5,86.3,75.5,77.2,80.1,80.1,78.6,85.0
Connally,82.4,83.3,79.2,80.3,79.4,84.4,83.7,82.5,80.2,80.2,81.3,82.2,85.6,86.6,87.0,88.8,88.2,87.8,86.3,88.1,89.0,90.0,87.4,88.9,89.5,88.4,84.1,83.0,85.8,83.3,84.9
Crain,88.2,65.4,78.3,75.6,72.6,81.4,78.4,77.6,76.6,79.6,79.2,83.0,86.8,89.5,87.5,86.5,90.1,82.6,80.1,83.6,87.5,89.5,90.6,89.2,95.6,81.9,82.9,79.3,81.1,82.4,81.2
Dalhart,76.0,74.6,75.6,75.5,72.5,72.1,72.0,76.1,75.5,76.9,76.8,78.3,81.7,81.4,79.8,76.5,80.3,80.7,79.4,77.9,80.1,84.6,80.6,78.6,73.9,72.2,78.2,75.5,73.6,76.8,79.9
Daniel,77.5,76.9,76.5,76.8,75.9,76.3,77.0,76.9,76.7,76.8,75.6,76.8,77.4,78.0,78.4,78.5,78.5,78.7,79.7,79.2,79.4,80.0,80.3,80.4,80.6,77.8,76.9,79.3,79.8,77.8,79.8
Dominguez,82.0,79.0,77.8,77.1,76.7,81.3,83.6,80.3,81.8,72.9,79.9,85.5,91.2,86.0,91.7,90.9,91.0,87.1,82.8,86.5,89.2,85.0,85.3,86.1,89.0,86.1,82.4,85.1,82.9,81.7,83.2
Ellis,79.1,77.4,75.9,75.4,73.4,76.6,80.2,85.4,77.8,80.6,77.5,77.2,87.6,83.1,83.6,87.7,89.4,86.2,84.5,84.1,82.0,87.5,88.4,87.1,87.5,84.2,83.0,79.1,78.9,79.7,84.5
Estelle,79.2,79.8,77.2,77.3,73.7,74.5,76.9,78.5,77.3,78.7,74.6,76.3,79.1,82.7,81.4,86.1,87.2,85.9,83.4,85.2,81.2,86.5,84.0,85.0,87.3,80.4,82.6,78.2,80.3,79.2,83.9
Ferguson,83.4,80.8,77.8,78.3,75.8,74.4,79.0,80.6,81.2,79.2,76.4,82.1,87.2,87.9,87.5,87.8,87.7,86.6,88.0,87.3,85.3,87.3,88.9,88.6,88.4,81.2,89.0,81.7,86.8,88.4,84.6
Formby,75.3,69.5,77.6,75.1,76.8,75.9,77.1,75.5,74.9,75.3,75.1,81.2,83.1,84.9,81.1,80.3,86.1,85.0,82.1,79.5,81.4,86.8,88.5,87.3,84.8,79.6,78.4,83.4,73.3,86.2,85.0
Garza East,86.9,88.0,86.5,86.5,84.2,89.7,86.3,84.7,85.6,85.6,86.0,88.8,93.2,91.1,91.2,91.3,93.1,91.4,89.8,90.8,91.3,95.0,92.1,89.4,92.8,88.7,89.1,88.7,91.8,85.5,91.8
