Initial Date of Extreme Temperature,ICS Implementation Date,County,Unit Affected,ICS Initiated,ICS Deactivated
6/13/2023,6/15/2023,Frio,Briscoe,6/15/2023,7/3/2023
6/13/2023,6/15/2023,La Salle ,Cotulla,6/15/2023,7/3/2023
6/13/2023,6/15/2023,Hidalgo,Lopez ,6/15/2023,6/29/2023
6/13/2023,6/15/2023,Hidalgo,Segovia,6/15/2023,6/29/2023
6/14/2023,6/16/2023,Duval,Glossbrenner,6/16/2023,6/29/2023
6/14/2023,6/17/2023,Houston,Wainwright,6/17/2023,6/23/2023
6/15/2023,6/17/2023,Madison,Ferguson,6/17/2023,6/22/2023
6/15/2023,6/18/2023,Fort Bend,Scott,6/18/2023,6/20/2023
6/15/2023,6/18/2023,Fort Bend,Jester III,6/18/2023,6/20/2023
6/15/2023,6/18/2023,Fort Bend,Vance,6/18/2023,6/20/2023
6/17/2023,6/19/2023,Falls,Hobby,6/19/2023,6/30/2023
6/17/2023,6/19/2023,Falls,Marlin,6/19/2023,6/30/2023
6/19/2023,6/21/2023,Brown,Havins,6/21/2023,6/23/2023
6/17/2023,6/20/2023,Coryell,Crain ,6/20/2023,6/23/2023
6/17/2023,6/20/2023,Coryell,Hilltop,6/20/2023,6/23/2023
6/17/2023,6/20/2023,Coryell,Hughes,6/20/2023,6/23/2023
6/17/2023,6/20/2023,Coryell,Mountain View,6/20/2023,6/23/2023
6/17/2023,6/20/2023,Coryell,Murray,6/20/2023,6/23/2023
6/17/2023,6/20/2023,Coryell,Woodman,6/20/2023,6/23/2023
6/18/2023,6/20/2023,Bexar,Dominguez,6/20/2023,6/22/2023
6/18/2023,6/22/2023,Walker,Byrd,6/22/2023,6/23/2023
6/19/2023,6/21/2023,Mitchell,Wallace,6/21/2023,6/22/2023
6/19/2023,6/21/2023,Pecos,Lynaugh,6/21/2023,6/29/2023
6/19/2023,6/21/2023,Pecos,Ft. Stockton,6/21/2023,6/29/2023
6/19/2023,6/21/2023,Lubbock ,Montford/Trustee Camp,6/21/2023,6/22/2023
6/20/2023,6/23/2023,Walker,Huntsville,6/23/2023,6/23/2023
6/23/2023,6/26/2023,Fort Bend,Scott,6/26/2023,6/28/2023
6/23/2023,6/26/2023,Fort Bend,Jester III,6/26/2023,6/28/2023
6/23/2023,6/26/2023,Fort Bend,Vance,6/26/2023,6/28/2023
6/23/2023,6/25/2023,Madison,Ferguson,6/25/2023,6/30/2023
6/23/2023,6/25/2023,Houston,Wainwright,6/25/2023,6/30/2023
6/23/2023,6/26/2023,Walker,Goree,6/26/2023,6/29/2023
6/24/2023,6/27/2023,Walker,Holliday,6/27/2023,6/29/2023
6/24/2023,6/27/2023,Walker,Byrd,6/27/2023,6/29/2023
6/24/2023,6/27/2023,Walker,Wynne,6/27/2023,6/29/2023
6/26/2023,6/27/2023,Walker,Huntsville,6/27/2023,6/29/2023
6/24/2023,6/27/2023,Mitchell,Wallace,6/27/2023,6/30/2023
6/25/2023,6/28/2023,Wichita,Allred,6/28/2023,6/30/2023
6/25/2023,6/28/2023,Brown,Havins,6/28/2023,6/30/2023
6/25/2023,6/28/2023,Stephens,Sayle,6/28/2023,6/29/2023
7/6/2023,7/8/2023,El Paso,Sanchez,7/8/2023,7/9/2023
7/7/2023,7/10/2023,Houston,Wainwright,7/10/2023,7/24/2023
7/8/2023,7/10/2023,Madison,Ferguson,7/10/2023,7/24/2023
7/9/2023,7/12/2023,Fort Bend,Scott,7/12/2023,7/21/2023
7/9/2023,7/12/2023,Fort Bend,Jester III,7/12/2023,7/21/2023
7/9/2023,7/12/2023,Fort Bend,Vance,7/12/2023,7/21/2023
7/10/2023,7/12/2023,Duval,Glossbrenner,7/12/2023,7/21/2023
7/11/2023,7/13/2023,Dewitt,Stevenson,7/13/2023,7/25/2023
7/11/2023,7/13/2023,Pecos,Lynaugh,7/13/2023,7/16/2023
7/11/2023,7/13/2023,Pecos,Ft. Stockton,7/13/2023,7/16/2023
7/11/2023,7/13/2023,Bexar,Dominguez,7/13/2023,7/15/2023
7/12/2023,7/15/2023,Jefferson,Stiles,7/15/2023,7/24/2023
7/12/2023,7/15/2023,Jefferson,LeBlanc,7/15/2023,7/24/2023
7/12/2023,7/15/2023,Jefferson,Gist,7/15/2023,7/24/2023
7/12/2023,7/15/2023,Brown,Havins,7/15/2023,7/24/2023
7/12/2023,7/15/2023,Falls,Hobby,7/15/2023,7/21/2023
