unit,locations
Powledge,Anderson
Beto,Anderson
Coffield,Anderson
Michael,Anderson
Diboll,Angelina
Duncan,Angelina
Garza East,Bee
Garza West,Bee
McConnell,Bee
Dominguez,Bexar
Telford,Bowie
Clemens,Brazoria
Memorial,Brazoria
Ramsey,Brazoria
Stringfellow,Brazoria
Terrell,Brazoria
Hamilton,Brazos
Havins,Brown
Halbert,Burnet
Coleman,Caldwell
Hodge,Cherokee
Skyview,Cherokee
Roach,Childress
Crain,Coryell
Hilltop,Coryell
Hughes,Coryell
Murray,Coryell
O'Daniel,Coryell
Woodman,Coryell
Hutchins,Dallas
Smith,Dawson
Stevenson,DeWitt
Glossbrenner,Duvall
Sanchez,El Paso
Hobby,Falls
Marlin,Falls
Cole,Fannin
"Moore, C.",Fannin
Jester III,Fort Bend
Scott,Fort Bend
Vance,Fort Bend
Boyd,Freestone
Briscoe,Frio
Young,Galveston
Hospital Galveston,Galveston
Baten,Gray
Jordan,Gray
Luther,Grimes
Pack,Grimes
Formby,Hale
Wheeler,Hale
Kegans,Harris
Lychner,Harris
Dalhart,Hartley
Kyle,Hays
Lopez,Hidalgo
Segovia,Hidalgo
Yellow/Wainwright,Houston
Lindsey,Jack
Goodman,Jasper
Gist,Jefferson
LeBlanc,Jefferson
Stiles,Jefferson
Estes,Johnson
Middleton,Jones
Robertson,Jones
Connally,Karnes
Cotulla,La Salle
Bell,Liberty
Henley,Liberty
Hightower,Liberty
Plane/Santa Maria Baby Bonding,Liberty
Montford/West Texas Hospital,Lubbock
Ferguson,Madison
Ney,Medina
Torres,Medina
Wallace/San Angelo Work Camp,Mitchell
Fort Stockton,Pecos
Lynaugh,Pecos
Polunsky,Polk
Clements,Potter
Bradshaw,Rusk
East Texas,Rusk
"Moore, B.",Rusk
San Saba,San Saba
Daniel,Scurry
Sayle,Stephens
Mechler,Swisher
Travis County,Travis
Lewis,Tyler
Byrd,Walker
Ellis,Walker
Estelle,Walker
Goree,Walker
Holliday,Walker
Huntsville,Walker
Wynne,Walker
Allred,Wichita
Willacy County,Willacy
Bridgeport,Wise
Johnston,Wood
