unit,region,notes
byrd,r1,Name we code as Komomzy is a difficult signature to comprehend
byrd,r1,Name we code as Freeman is a difficult signature to comprehend
duncan,r1,Name we code as Blur is a difficult signature to comprehend
duncan,r1,Name we code as Nathaniel is a difficult signature to comprehend
ellis,r1,Name we code as Varley is a difficult signature to comprehend
ellis,r1,Name we code as Parker is a difficult signature to comprehend
estelle,r1,Name we code as Oscley is a difficult signature to comprehend
estelle,r1,Name we code as Gichs is a difficult signature to comprehend
estelle,r1,Name we code as Ekweybalu is a difficult signature to comprehend
estelle,r1,7:30 p.m. on logs 7/28 and 7/29 is scratched out for whatever reason
ferguson,r1,Name we code as Odiakose is a difficult signature to comprehend
ferguson,r1,Name we code as Akpowerne is a difficult signature to comprehend
goodman,r1,Name we code as Samuel is a difficult signature to comprehend
goodman,r1,Name we code as G Kadnot is a difficult signature to comprehend
goodman,r1,Name we code as P Guzman is a difficult signature to comprehend
goree,r1,Name we code as Ifeit is a difficult signature to comprehend
holliday,r1,Name we code as Abadamon is a difficult signature to comprehend
holliday,r1,Name we code as Eriokowunt is a very difficult signature to comprehend
holliday,r1,Name we code as Norflut is a very difficult signature to comprehend
holliday,r1,Name we code as Zuinkure is a very difficult signature to comprehend
huntsville,r1,Name we code as Gumbrell is a difficult signature to comprehend
huntsville,r1,Name we code as Okeremgbo is a difficult signature to comprehend
huntsville,r1,Name we code as Mubiulli is a difficult signature to comprehend
huntsville,r1,Name we code as Mosky is a difficult signature to comprehend
lewis,r1,Name we coded as Ky is a difficult signature to comprehend
lewis,r1,Glosson and Glosson Ky names are the same person
polunsky,r1,Name we coded as Challuger has a difficult signature to comprehend
polunsky,r1,Name we coded as Bogamy has a difficult signature to comprehend
wainwright,r1,Name we coded as Okedawg has a difficult signature to read
wainwright,r1,Name we coded as Any has a difficult signature to read
wainwright,r1,Name we coded as Anolus has a difficult signature to read
wainwright,r1,Name we coded as Kiylendall has a difficult signature to read
wainwright,r1,Name we coded as Ramirez has a difficult signature to read
