unit_name,unit_code,region,slug,url,notes_gid,notes
Bell,CV,I,NA,,,
Byrd,DU,I,r1-byrd,https://docs.google.com/spreadsheets/d/e/2PACX-1vROqTyAYXIl0X6UNDtVLJMcAT6n6OyVuSIGRvZ86lh2k58IwI0h0slpQ9pxf8T1aCNQjmqo4BdhkKTN/pub?gid=0&single=true&output=csv,1133970569,
Diboll,DO,I,NA,,,"closely linked to Duncan, pre-release"
Duncan,N6,I,r1-duncan,https://docs.google.com/spreadsheets/d/e/2PACX-1vTvRflz3aPUPyicGUD3IMdEWhNzZbbO9SOVbA3TUVNOsB-cckFly3S906umatwrJ8dDflRBrD-Lok5E/pub?gid=0&single=true&output=csv,535687266,
Ellis,E1,I,r1-ellis,https://docs.google.com/spreadsheets/d/e/2PACX-1vT2YHxOjgxQ6obR-b6GEigJauMNsird4oH8KfSibmRZ8QXCr20T5H4NhBPg0TxJRIH7iq5vpRT2oo2I/pub?output=csv,1770803795,
Estelle,E2,I,r1-estelle,https://docs.google.com/spreadsheets/d/e/2PACX-1vRPdRSPyFwnYPgrLkJktmtg2hy4BmWl0eILzwO7KLalYxjPF2xYMZj4kSTuo3u7wwUckskou4-Dm4zF/pub?output=csv,1551327169,
Ferguson,FE,I,r1-ferguson,https://docs.google.com/spreadsheets/d/e/2PACX-1vQXrHVQKktMB-MHLSiwd7tqrh1uBoPdXyhrwn7FRhT_0SW1MzrCONZWe6AvbkZtqeWDR5SsvT5eyeql/pub?output=csv,960707775,
Goodman,GG,I,r1-goodman,https://docs.google.com/spreadsheets/d/e/2PACX-1vQHy7uKwXYutl-h3ySsOHvRKY5ujDEeZs2xoPu9u5vtEFaZcpBZBxJIuEByG5m1MK0OhEgU0C72B_ov/pub?output=csv,1134725784,
Goree,GR,I,r1-goree,https://docs.google.com/spreadsheets/d/e/2PACX-1vRcFV4YJtu-iu_XDREypfJkHwGwsXrNhG9C6syQH9KgppT96NWIPoLuTu_R6MjA3UrrlY8Jza8BWikg/pub?output=csv,1892684067,
Holliday,NF,I,r1-holliday,https://docs.google.com/spreadsheets/d/e/2PACX-1vTifE-W5z0-GJC-xG4R6EHKTmLNHJtPC42nYDHITUoEiG7onoFdDmlE60I8EpG1IXNMiWYFYjJfQkOG/pub?output=csv,1950497374,
Huntsville,HV,I,r1-huntsville,https://docs.google.com/spreadsheets/d/e/2PACX-1vSqKNHWIdn7KVVcyM9lP0HWnQvHH9R7E8IY5lakU3PArvSOEzNuh3hFGPcmUWNvsTQXmULfnBVdbVGX/pub?output=csv,626773476,
Lewis,GL,I,r1-lewis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTdYq-eyxU3LYZZDYZRtaGnr8c1bcWFlI4N7oU-J80cnAJsMrEAgbEuqGvzAL3kIOczaFkFiywdEeZa/pub?output=csv,1582298520,
Polunsky,TL,I,r1-polunsky,https://docs.google.com/spreadsheets/d/e/2PACX-1vQgC2hhWLTkjbA_e7mZdnbMyZDjtns4nTY82QcmhG-hztmFpObL9wSRmHez7GyNCi-aBrGNyanfafLB/pub?output=csv,666324764,
Wynne,WY,I,r1-wynne,https://docs.google.com/spreadsheets/d/e/2PACX-1vQSSVdGNx4LVJ1y0I3kdX5jpyQ6HwMqGkbanSQbO6gfJiMG8hyL260Jfczs51W2YcnjIiL6qilCAXVK/pub?output=csv,594866636,
Yellow/Wainwright,EA,I,r1-wainwright,https://docs.google.com/spreadsheets/d/e/2PACX-1vSurnMXjUD7o-vIz5MzdsQRe3RbOHL4xIhK6aBUXeyy7N1uFUMxel6xYzoV-r6zY1MAxOexXco8Owho/pub?output=csv,846380532,
Beto,B,II,r2-beto,https://docs.google.com/spreadsheets/d/e/2PACX-1vRvx3rt4wRh2d5ODhX8TjZRmX-nqDg1C5gRfDvHm2GrL8zyBiTmfxreSQ0qhvGoa1mZtMMhO3qo4uJj/pub?gid=0&single=true&output=csv ,1957810682,
Boyd,BY,II,r2-boyd,https://docs.google.com/spreadsheets/d/e/2PACX-1vQRBlwpH0hQsBJDd6S_SE8tZpt2bflmGvRw8IuWAvyy8xyd0O_RsCZFbScBWsHRH9jT09qSlBC4OZB9/pub?gid=0&single=true&output=csv ,1957810682,
Coffield,CO,II,NA,,,close to r2-michael
Cole,CL,II,r2-cole,https://docs.google.com/spreadsheets/d/e/2PACX-1vTXjtTSnPabuAGcwYlmaFlsSUT5---k24V_-yTvkp9__hNdfPCAx4z8S07-SsQ4Pfril1oUcbkxkBvy/pub?gid=0&single=true&output=csv,1957810682,
Estes,VS,II,NA,,,pre-release
Hodge,HD,II,NA,,,listed as skyview-hodge
Hutchins,HJ,II,r2-hutchins,https://docs.google.com/spreadsheets/d/e/2PACX-1vSed88GSstqFTEmRO9Q4gvr61Dnv9AujloxzqZpLrBzKRV24epCpJZwe7FbrplltfQzNgvZHC6S2Yup/pub?gid=0&single=true&output=csv,1957810682,
Johnston,JT,II,r2-johnston,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmbo6CF443u3rmSpx5xS6hMAx3nvcXpRkrUWcje53NzhDaBr-g0s2grbQPktOg5ZwR-wzQwVWzwdmS/pub?gid=0&single=true&output=csv,1957810682,
Michael,MI,II,r2-michael,https://docs.google.com/spreadsheets/d/e/2PACX-1vSIEOtQy5Km7bURgXYSeuftdSYxFRlWwPrVdkymDv3iZQlPjOUenf1ks7L0L72-bSFZ-E5rAItqVlu4/pub?gid=0&single=true&output=csv,1957810682,
"Moore, C.",CM,II,r2-choice-moore,https://docs.google.com/spreadsheets/d/e/2PACX-1vQruL7myUb6OGr2jNXOE9TSWESrhnsiec73AOYGovUZJqnP6qpgywECS3MQg3ga3MwfQC3QXkXJ3XWM/pub?gid=0&single=true&output=csv,1957810682,
Powledge,B2,II,r2-powledge,https://docs.google.com/spreadsheets/d/e/2PACX-1vTEbnb8LmDcVu5KCn2HeQrj0C_eIfDAn1kvTcGtqy8UPIjfGxtd85zE1H4csy9DBV8Y2XRvyba0QG-w/pub?gid=0&single=true&output=csv,1957810682,
Skyview,SV,II,r2-skyview,https://docs.google.com/spreadsheets/d/e/2PACX-1vQpFKqIjTm1oUXR641SaNevRn8u990YItayFXu0CN9U7jXGrUyTJ-y4etOZw_Exl7PjO1trJyxrLZz5/pub?gid=0&single=true&output=csv,1957810682,listed as skyview-hodge
Telford,TO,II,r2-telford,https://docs.google.com/spreadsheets/d/e/2PACX-1vRvcDhP1jrYUvJVxtm5LZ20HbVwyeEc3KCVI7lI3sV_63zh8vKiDa6F0jdGG77irOzxzUsDR4TrdKCJ/pub?gid=0&single=true&output=csv,1957810682,
Clemens,CN/RV,III,r3-clemens,https://docs.google.com/spreadsheets/d/e/2PACX-1vRNNPRz2wF0nOdnx_TS1Mnd0LRnBs3IGEMnmkUPEWApzteUO5EohJZDtIIMveslIgSmfGvve4adnFsl/pub?gid=0&single=true&output=csv,2056537832,
Gist,BJ,III,r3-gist,https://docs.google.com/spreadsheets/d/e/2PACX-1vS3lpb7SO-F9N0oMOG-nUcE8XPxlMjk6-X9kcB4AWW2wQQdJushh2OY5F4fxeKpIODrpOfdVCQS8-k0/pub?gid=0&single=true&output=csv,1896874667,
Henley,LT,III,r3-henley,https://docs.google.com/spreadsheets/d/e/2PACX-1vQB67AkK5LBMqYeBDjAp8b8ErEcbvhm590Z3I3lb29nyVbKQaVkqh__3ILSJ_z_AV3WXDeKILZAzKtN/pub?gid=0&single=true&output=csv,1886935373,
Hightower,HI,III,r3-hightower,https://docs.google.com/spreadsheets/d/e/2PACX-1vRakUGMFyjZWEORYLUysJAYCQgmTQB0Bu_3m2i9jkiTi8ZIRFWvc0mfhdsxra9xKOSzIVfUuQWc_6mE/pub?gid=0&single=true&output=csv,1980581353,
Hospital Galveston,HG,III,r3-hospital-galveston,https://docs.google.com/spreadsheets/d/e/2PACX-1vQxGt8ohe_JZo6XxRp6Gpx2G8_2tKeKU3nTq3De90X2PCNL94WjYySP6uej9a-YjEHaDmOjCuat3Y-j/pub?gid=0&single=true&output=csv,877445100,
Jester III,J3,III,r3-jester-3,https://docs.google.com/spreadsheets/d/e/2PACX-1vREuQeXXPPRUXC-nMACzuFtT-CBI9_YMcfN_7RyN2hVoR_UYIxnzFzIbw1jR4_y3h8ByHB2d0l5uEmz/pub?gid=0&single=true&output=csv,1223362471,
Kegans,HM,III,r3-kegans,https://docs.google.com/spreadsheets/d/e/2PACX-1vT8pIEnaTYXk-SgV0PPJWk52PfGzGs4HrdHVIz_7fa84nOPuYUYpjt7EdhdL1OxRxJDMqH0Ij8FrJRB/pub?gid=0&single=true&output=csv,452082585,
LeBlanc,BA,III,r3-leblanc,https://docs.google.com/spreadsheets/d/e/2PACX-1vRH8WN8jYsZxXHdZh9stmZtpOhX_JQXbEddXjvz0oPXjGSuhcTKUmemydCxclXWaEoKMbSmHrrfdz9g/pub?gid=0&single=true&output=csv,326458710,
Lychner,AJ,III,r3-lychner,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ918ekQLHHaZN59GQW3eZNsp0JV1VqbtrFMEPeWadkv3YfjF8k3d1mPjp3elwDehbOsJR1ijuv7P_j/pub?gid=0&single=true&output=csv,867963738,
Memorial,DA,III,r3-memorial,https://docs.google.com/spreadsheets/d/e/2PACX-1vS19hTPCxtXFbACBN61enN6GDXDB6k-Tn1YkCdzIm5MfsSUTNr5qXwyyCOI1Kn6qVOabWUi9XffdHkL/pub?gid=0&single=true&output=csv,1213125162,
Plane/Santa Maria Baby Bonding,LJ,III,r3-plane,https://docs.google.com/spreadsheets/d/e/2PACX-1vSjeIWEMGP783BTK9X9PPtcNMHf4EHshI454ozuwnULyHoKLCkmRk1_XP4IBuPGCRKeYybmnCgwJrGB/pub?gid=0&single=true&output=csv,1594259406,
Ramsey,R1,III,r3-ramsey,https://docs.google.com/spreadsheets/d/e/2PACX-1vRRuDP7e5dFV-n5P6d-N0ZK8wZw6fslNKCN8nD2e5TcvNifXRjbySpvU0OY4YZj-V1j52fk0jPgSZk0/pub?gid=0&single=true&output=csv,1951416594,
Scott,J4,III,r3-scott,https://docs.google.com/spreadsheets/d/e/2PACX-1vSFNSPsSwtaZ7sxlOTii2RiLo5wovkDE8Eb01CERPXWc-Xpli8cIudPtebiC4nIZgOCbbV81f1Dje6X/pub?gid=0&single=true&output=csv,1453761361,
Stiles,ST,III,r3-stiles,https://docs.google.com/spreadsheets/d/e/2PACX-1vTbQjQstPG0XKrMABiP5SJNEjdmyoIu6gDP9qn2Yd2D9Abcc9gDh2fExs0VOVUlYjcQXjhiEHLH_WEg/pub?gid=0&single=true&output=csv,1455879867,
Stringfellow,R2,III,r3-stringfellow,https://docs.google.com/spreadsheets/d/e/2PACX-1vQPmC_CDWDcL5xJMF-mLNyq730REAXLWl9AgA5SCudJv86uJT1POTETwvI96rDwp88Ee7Athz457Oj5/pub?gid=0&single=true&output=csv,1149273764,
Terrell,R3,III,r3-terrell,https://docs.google.com/spreadsheets/d/e/2PACX-1vSFhogqvQCXWiWWURTcBCN5UnW0V-lps1bthVjSAtRO7tsz-M-yyDMmSKlYZzOfwSOpnZ4x99W3fuq6/pub?gid=0&single=true&output=csv,284167769,
Vance,J2,III,r3-vance,https://docs.google.com/spreadsheets/d/e/2PACX-1vT-4oEgTrkdJfULyVZ8fK_UE_LBRqjeLlBCyn1_5Rr1PBcBHE2jYe9hPoGzRssSjT9hVfuFQYhumEtN/pub?gid=0&single=true&output=csv,2068585116,
Young,GC,III,r3-young,https://docs.google.com/spreadsheets/d/e/2PACX-1vTcpR_HADtimIFPdVAGEp4ky1z4W3aUqVm9O8jPjXoxGB-VCGK68bn61uwycf1n3l39MFwpFcDNuLC8/pub?gid=0&single=true&output=csv,1789477775,
Briscoe,DB,IV,r4-briscoe,https://docs.google.com/spreadsheets/d/e/2PACX-1vRHHMdtQQFPfM_xT5NUVezKpcrLDnMKUSFAhLn2rQy8cJono98hWkxW_s_pLPIT470CyIu9or9ih7fV/pub?output=csv,663904456,
Connally,CY,IV,r4-connally,https://docs.google.com/spreadsheets/d/e/2PACX-1vRT_wYBqQVtdeUXCEfNt4KyvI6-WN3w61Plfq6oGU1RwBqfKb5vIQ-i0U9uIaNRv65r8hGZyWXX0uBN/pub?output=csv,0,
Cotulla,N4,IV,r4-cotulla,https://docs.google.com/spreadsheets/d/e/2PACX-1vQETQua74HqiFxCMHnmvcDQlHhpJj4UCcfvzh2RAcPML_0_ojatt-bBqbC_G2-EUDaAgdpX6VeouzU6/pub?output=csv,1822760740,
Dominguez,BX,IV,r4-dominguez,https://docs.google.com/spreadsheets/d/e/2PACX-1vStrV8KyN5ocW76i_HHp2_Dymr2kz1vtBpptrBL7zvvyz5cRHxsKDSdPENj2LyKjLZ2HNV8UHZ4oiHm/pub?output=csv,1103607990,
Fort Stockton,N5,IV,r4-fort-stockton,https://docs.google.com/spreadsheets/d/e/2PACX-1vRpYqM0FPftfId-kgcfnsBWWtDkte0TW39oDi9rJwOpPthBRNDkNVMq-7_f5hRRvkJUzkqFRgkinqj2/pub?output=csv,570372137,
Garza East,NI,IV,r4-garza-east,,,closely linked to Garza West
Garza West,NH,IV,r4-garza-west,https://docs.google.com/spreadsheets/d/e/2PACX-1vQUev3PxLMbY_m1YcxSzbejFDk837VuZs4BEIyO9G36-yVkcAlH3pS2QIbyRvsXQ7tWRcaWSSJtI3Ha/pub?output=csv,94961094,
