Unit Name,Data Fellow,NWS,NWS ID,Unit Code,Type,Street Address,City,County,Zip,Driving miles
Middleton,Pearson,Abilene Regional Airport (KABI),KABI,NE,Prison,13055 FM 3522,Abilene,Jones,79601,
Robertson,Pearson,Abilene Regional Airport (KABI),KABI,RB,Prison,12071 FM 3522,Abilene,Jones,79601,
Clements,Pearson,Amarillo International Airport (KAMA),KAMA,BC,Prison,9601 Spur 591,Amarillo,Potter,79107-9606,
Travis County,Pearson,Austin Executive Airport (KEDC),KEDC,TI,State Jail,8101 FM 969,Austin,Travis,78724,
Gist,Pearson,Port Arthur Southeast Texas Regional Airport (KBPT),KBPT,BJ,State Jail,3295 FM 3514,Beaumont,Jefferson,77705,
LeBlanc,Pearson,Port Arthur Southeast Texas Regional Airport (KBPT),KBPT,BA,Pre-Release,3695 FM 3514,Beaumont,Jefferson,77705,
Stiles,Pearson,Port Arthur Southeast Texas Regional Airport (KBPT),KBPT,ST,Prison,3060 FM 3514,Beaumont,Jefferson,77705,
Garza East,Pearson,Beeville Municipal Airport (KBEA),KBEA,NI,Prison,4304 Highway 202,Beeville,Bee,78102,
Garza West,Pearson,Beeville Municipal Airport (KBEA),KBEA,NH,Prison,4250 Highway 202,Beeville,Bee,78102,
McConnell,Pearson,Beeville Municipal Airport (KBEA),KBEA,ML,Prison,3001 South Emily Drive,Beeville,Bee,78102,
Cole,Pearson,Jones Field - Bonham (KF00),KF00,CL,State Jail,3801 Silo Road,Bonham,Fannin,75418,
"Moore, C.",Pearson,Jones Field - Bonham (KF00),KF00,CM,Prison,1700 North FM 87,Bonham,Fannin,75418,
Clemens,Pearson,Brazoria County Airport (KLBX),KLBX,CN/RV,Prison,11034 Hwy 36,Brazoria,Brazoria,77422,
Sayle,Pearson,Stephens County Airport (KBKD),KBKD,SY,SAFPF,4176 FM 1800,Breckenridge,Stephens,76424-7301 ,
Bridgeport,Pearson,Bridgeport Municipal Airport (KXBP),KXBP,BR,Private Prison,4000 North Tenth Street,Bridgeport,Wise,76426,
Havins,Pearson,Brownwood Regional Airport (KBWD),KBWD,TH,Pre-Release,500 FM 45 East,Brownwood,Brown,76801,
Hamilton,Pearson,Easterwood Field (KCLL),KCLL,JH,Pre-Release,200 Lee Morrison Lane,Bryan,Brazos,77807,
Halbert,Pearson,Burnet Municipal Craddock Field (KBMQ),KBMQ,BB,SAFPF,800 Ellen Halbert Drive,Burnet,Burnet,78611,
Roach,Pearson,Childress Municipal Airport (KCDS),KCDS,RH,Prison,15845 FM 164,Childress,Childress,79201,
Bell,Pearson,Montgomery County Airport (KCXO),KCXO,CV,Pre-Release,901 East Fifth Street,Cleveland,Liberty,77327,24.9
Wallace,Pearson,Winston Field Airport (KSNK),KSNK,WL,Prison,1675 South FM 3525,Colorado City,Mitchell,79512,26.2
Cotulla,Pearson,Cotulla-La Salle County Airport (KCOT),KCOT,N4,Prison,610 FM 624,Cotulla,La Salle,78014,
Stevenson,Pearson,Victoria Regional Airport (KVCT),KVCT,SB,Prison,1525 FM 766,Cuero,DeWitt,77954,
Dalhart,Pearson,Dalhart Municipal Airport (KDHT),KDHT,DH,Prison,11950 FM 998,Dalhart,Hartley,79022,
Hutchins,Pearson,Redbird Airport (KRBD),KRBD,HJ,State Jail,1500 East Langdon Road,Dallas,Dallas,75241,
Henley,Pearson,La Porte Municipal Airport (KT41),KT41,LT,State Jail,7581 Hwy 321,Dayton,Liberty,77535,
Hightower,Ali,La Porte Municipal Airport (KT41),KT41,HI,Prison,902 FM 686,Dayton,Liberty,77535,
Plane,Ali,La Porte Municipal Airport (KT41),KT41,LJ,State Jail,904 FM 686,Dayton,Liberty,77535,
